,0,1,train_loss,val_loss
0,[128],"[32, 128]",27.681442548259444,1052.0516889398384
1,"[8, 4, 16, 8]","[64, 16, 128]",14.106488473681653,16.859244292634333
2,"[32, 256]","[8, 8]",,
3,"[8, 32, 8, 128]",[64],49.03896708828341,33.74410159596282
4,"[128, 256, 128]","[2, 128, 2]",44.942669666325926,33.18323414536922
5,[2],"[128, 64]",,
6,"[4, 32, 32, 32]","[4, 32, 64]",,
7,[256],"[256, 4, 32, 16]",20.359171115687353,22.375554389658824
8,"[2, 32, 2, 32]","[16, 256, 16]",16.054747404965006,17.802014857368626
9,"[2, 2]","[64, 16]",31.58134970900773,32.06315579403354
10,"[64, 2]",[8],19.65963738385815,11.754830860442116
11,"[16, 16, 32]","[8, 32, 32]",14.22252342376939,20.363380164653062
12,[32],"[64, 256, 256, 8]",26.63607610858394,18.451810074506895
13,"[8, 64]",[64],158.8193225009506,18015.85910709056
14,"[2, 256, 32, 4]","[16, 2, 2]",,
15,"[8, 8, 4, 32]","[2, 8]",12.817516017149323,8.702023246463225
16,[4],"[64, 4, 256]",34.567133981786974,2251.3940084487363
17,[64],[4],17.165175385869066,14.408835669397984
18,"[256, 4, 2, 32]","[256, 2]",91.38693337894806,433.37241369856434
19,"[32, 64, 2]","[64, 32, 16]",16.315443145245315,15.244471207131513
20,[16],"[8, 2, 128]",13.07659688088816,15.326490721611872
21,"[128, 64, 32, 2]","[128, 64, 64, 32]",,
22,"[2, 64]","[32, 128, 32]",12.197334199593321,16.087283516033835
23,"[4, 256, 2, 8]","[128, 4, 64, 2]",,
24,"[128, 4]","[16, 128, 2]",,
25,"[8, 32, 16, 16]","[64, 32, 64, 64]",19.825606537938768,12.21797943656859
26,"[4, 128, 128, 8]","[8, 16]",,
27,"[256, 128, 32, 64]",[4],,
28,"[256, 8, 2]",[2],17.59117800436201,9.314324409404527
29,"[4, 256, 8]","[2, 8]",31.366832994128046,14.482372681867819
30,"[4, 32]","[16, 2, 256]",14.717607331201432,12.90273291686955
31,[32],"[64, 32, 32, 64]",31.743195367166198,36.426800289102225
32,"[8, 16, 16, 2]",[256],,
