,0,1,2,train_loss,val_loss
0,0.0959,32,0.4121,11.323756966898666,6.353756955663363
1,0.0959,8,0.1809,8.202739600726868,5.485378596627194
2,0.1,8,0.8643,16.420825144540274,8.209928624479666
3,0.0735,32,0.206,7.749170403157843,5.205409150163332
4,0.0306,8,0.4271,11.426073930296315,6.2199232860855425
5,0.0286,16,0.8141,15.463357067824447,7.698539377896682
6,0.0367,64,0.3216,9.8025183071268,5.902348439216614
7,0.051,2,0.8492,16.110548517160844,8.112638418635873
8,0.0878,32,0.0704,5.10882324533961,4.169449770569801
9,0.0163,8,0.6633,14.155061163499365,7.39057973327844
10,0.098,16,0.7739,21.38151968940859,11.760850620518559
11,0.0918,16,0.0603,4.528190807184706,3.7000936798790227
12,0.0939,64,0.0553,4.376881912182117,3.6915263200203574
13,0.0204,16,0.5075,12.287279812313164,6.494867977536243
14,0.0122,16,0.7085,14.499263411513617,7.332398401757945
15,0.0714,16,0.5025,12.50468198974858,6.536097472087197
16,0.0122,4,0.1608,6.76628635605622,4.962216077037479
17,0.0959,64,0.3166,9.66732955370278,5.78454215590159
18,0.0102,16,0.3317,9.810396916358368,5.567751627217169
19,0.0163,16,0.3618,10.289698074627958,5.774223650683527
20,0.0184,8,0.0302,3.8498881455458145,3.291262438998274
21,0.051,8,0.9497,16.850178072887736,8.166622894644737
22,0.0755,64,0.2714,8.903420938656248,5.720715804974239
23,0.0184,8,0.196,7.487172750297528,5.077516236323378
24,0.0531,64,0.0603,4.450423341224933,3.721706490834554
25,0.0041,4,0.4724,11.879295692150519,6.665096535366514
26,0.0429,2,0.0452,4.301152303910187,3.6136727462386906
27,0.0327,2,0.8543,15.866914078525882,7.752069268044227
28,0.0551,32,0.4171,11.337907794345043,6.711792901198069
29,0.0531,16,0.191,7.376235198865767,4.609027396595997
30,0.0755,16,0.2764,9.172514283417103,5.494863519772239
31,0.0898,32,0.1558,6.82647981642238,4.799978447337945
32,0.0816,4,0.5126,14.153658185031535,7.992993146462286
33,0.0102,64,0.9497,16.505616378389554,8.255637574513752
