,0,1,train_loss,val_loss
0,"[8, 64, 256, 64]","[32, 32, 8, 32]",18.55160019253581,14.660503819947653
1,"[64, 256, 32, 256]","[8, 64, 32]",18.770116580483965,14.594680729197423
2,"[256, 256, 16]",[64],18.34997419802269,14.54647949873105
3,"[8, 128]","[4, 8]",18.12898316617112,14.705762747811237
4,[32],[64],14.95845034918449,12.551484190543063
5,[256],"[2, 128]",18.51001016114515,14.553864386677741
6,"[16, 16]","[4, 4, 8]",7.719195660793017,8.963367177857005
7,"[8, 16]","[2, 256]",16.598858832134766,13.395245495853214
8,"[2, 32]","[32, 4, 128]",7.893939051484412,6.18222275590119
9,"[8, 2, 32]",[16],18.335302374780017,14.68858992172648
10,"[256, 4, 16]",[128],18.423697357884386,14.516263947590542
11,"[8, 128, 32]","[128, 64]",18.497032994070874,14.821762581234395
12,"[32, 2, 8, 128]","[2, 16, 256]",18.744463460857823,14.65907434453135
13,"[32, 128]",[4],14.573849159752356,14.707432693244646
14,"[16, 2]","[32, 8, 64]",14.816119660609965,11.707784322007845
15,"[64, 32]","[128, 4]",,
16,"[256, 256, 64, 32]","[128, 64]",18.87406059320987,14.725799065828323
17,"[32, 128, 8]","[4, 256]",18.612525507976315,14.624352895772978
18,"[2, 256, 2, 2]",[128],18.441174693965596,14.517874962039617
19,"[64, 2]","[16, 128, 128, 128]",6.594998488817482,9.14402741441908
20,"[32, 8, 256, 2]","[8, 32]",18.578380276579818,14.47921578894491
21,"[2, 32, 256]","[4, 256]",9.934946103321224,8.078335753342378
22,"[8, 128]","[8, 256, 16]",13.52141811521483,12.676616489420766
23,"[16, 32]",[4],18.361344406451817,14.887991006162181
24,"[4, 64, 64]","[4, 32]",18.35656287508764,14.53497654352499
25,"[8, 128, 32]","[4, 2, 2]",18.42319162305536,14.58679779291153
26,"[64, 4, 128, 4]",[4],11.471073052004774,10.293535693521086
27,"[128, 8, 8, 128]",[64],18.383495989630923,14.531537325110126
28,"[128, 64]",[256],18.5343963269441,14.533459451690963
29,"[128, 64]","[2, 32, 32]",18.706092610418146,14.551187695783119
30,"[8, 64, 32]","[256, 256]",7.611833354621951,8.962483291826818
31,"[4, 16]","[64, 32]",18.71427273236981,14.574958069583648
32,"[4, 4, 64]","[64, 64, 4]",14.40791385816649,11.413890999970228
33,[256],"[64, 32]",18.771908961339935,14.605819645420363
34,"[128, 64]",[8],18.194740699993655,14.75561164211968
35,"[4, 4]","[64, 16, 32]",18.700907046443234,14.568775643602661
36,"[2, 8]","[16, 256]",7.173891972569042,5.501360529978638
37,"[16, 8, 4]",[128],12.276275229792246,10.170477076613386
38,"[8, 64, 8]","[128, 8, 128]",18.624400939792277,14.635997173008713
39,"[256, 64, 64, 128]","[16, 64, 16, 8]",15.778284967023405,11.642323682178624
40,[128],"[8, 64]",12.510233951178247,12.29004524369603
41,"[2, 4]","[4, 4]",18.369047371901726,14.51803967271162
42,"[4, 256]","[8, 8, 128]",18.517164248021732,14.552936986710712
43,"[32, 16, 8]","[16, 128, 64, 128]",18.743572039521442,14.556599397426064
44,"[8, 16, 64, 32]","[32, 16, 2, 8]",12.561303539582036,9.334175715465909
45,"[8, 8, 32]","[2, 8, 64]",16.29071411954914,13.254273162872897
46,"[4, 8]","[4, 8]",,
47,[16],"[128, 2]",16.752670240448875,16.656242203168247
48,[2],"[8, 16]",18.52882005657467,14.46014729756376
49,"[2, 8, 128]",[4],14.474023275586564,11.463214029153992
50,[8],"[256, 32, 8, 64]",14.791822493111258,11.929301074354544
51,"[128, 64]","[256, 16, 128, 256]",18.808660895483296,14.666463945689411
52,"[64, 2, 16, 2]","[128, 64]",18.876920337820067,14.707733990472294
53,"[4, 128, 256, 4]","[32, 8, 8]",,
54,"[16, 128, 16]","[256, 32, 4]",18.89257748841494,14.585051629310067
55,"[128, 8]","[64, 32, 128, 128]",9.866776064937808,11.263472467336964
56,"[4, 256, 8, 64]","[4, 4, 8, 32]",18.507825042079595,14.494009764324064
57,"[16, 4, 256]",[128],18.404205399548683,14.511813321916952
58,[256],"[2, 32, 128]",17.27125146773226,13.999672395120497
59,"[64, 128, 16, 64]","[16, 256]",18.695692324500147,14.657693880070811
60,"[8, 2]","[32, 64, 4, 8]",14.91176792426969,12.846617822893288
61,[2],"[128, 64, 16]",11.265640858408771,8.774663962397886
62,"[4, 32, 32]",[4],9.233104828997831,8.490477182210789
63,"[128, 2, 64, 2]","[4, 32, 32, 4]",,
64,"[32, 32, 64, 128]","[16, 4]",15.11210456347354,12.318517499268054
65,[4],"[32, 128]",14.513024079262227,11.767923615678496
66,"[256, 256, 256, 8]",[128],18.428702463440445,14.515698092398436
67,"[8, 4, 256, 64]","[64, 2, 4]",18.55604367529451,14.418766277872997
68,"[128, 8, 64, 2]",[2],11.100117365764754,8.549594886630125
69,"[8, 32]",[4],18.22107234395872,14.735258702208165
70,[32],"[64, 128, 128]",17.311087974784634,13.68889801681042
71,[256],"[64, 2, 8]",7.541250611967246,10.649637962469587
72,"[16, 64]","[32, 16, 16]",11.840340094228589,10.751410736389783
73,"[128, 8]",[4],18.437147064087746,14.83076886448493
74,[256],[4],18.379119125875533,14.874375614361918
75,"[16, 16, 128]","[8, 16, 16]",18.6137226469753,14.47729128557703
76,"[8, 128, 32]","[128, 8]",18.631095593031656,14.496688651312954
77,"[16, 8, 256]","[16, 32]",18.586735319169232,14.48051263231298
78,"[8, 32, 4, 32]",[8],18.232046991560054,14.739235426057942
79,"[128, 128, 32]","[2, 16]",17.06533896226227,13.54685720668215
80,"[2, 128, 2, 8]",[64],17.847012299318244,14.332653146839665
81,"[8, 8, 32]","[256, 32]",7.452378999976864,7.932036685120802
82,"[2, 2, 2, 2]",[2],19.375091247875034,14.966927024593167
83,"[8, 32, 64]","[32, 128, 8]",18.929024988329353,14.647565909546353
84,"[128, 128]","[256, 8]",16.416254184560216,13.249885626422321
85,"[8, 2, 128]","[4, 4]",18.4705853765906,14.605868916347944
86,"[32, 128]",[128],17.43590240126821,13.319996504356027
87,"[2, 256, 64, 8]",[32],18.29572662185715,14.592567968459232
88,"[16, 8]",[256],8.640238207469295,8.37225469223183
89,[128],[2],10.387090397652637,13.451822275690146
90,"[16, 256, 4]","[64, 2, 4, 16]",18.469694986672994,14.511852932261384
91,[64],[8],15.890245561378215,13.624820342730002
92,"[8, 4, 8]","[2, 16]",16.821193128585282,13.78893751437249
93,"[128, 64, 32]","[128, 16, 16]",18.821400329628755,14.561995635810106
94,"[256, 32, 16]","[8, 64, 8]",8.893930745774856,10.46870306380417
95,[256],[8],15.893091195311625,13.573520910804689
96,"[8, 4, 32, 8]","[256, 8, 16, 128]",18.674050380309716,14.599804317458817
97,"[2, 2, 2]","[2, 8]",18.360598673097833,14.522863992795997
98,[16],[4],8.05044987340652,8.99343004875695
99,"[64, 256, 4, 2]","[2, 128]",7.9149928347217475,9.809453819115525
100,"[256, 256, 256]","[8, 32]",15.21881673148137,11.87846537626308
101,"[64, 32, 64, 2]","[256, 32]",18.95713795319472,14.749175532926689
102,"[64, 32]",[128],11.415177927184619,11.712758469037388
103,[16],"[4, 2]",17.363419442251413,13.926312985287819
104,"[2, 16, 32]","[4, 32]",11.216163227536898,9.28551242414052
105,"[32, 16]","[128, 16, 4, 4]",18.30124798299623,14.18496528994778
106,"[4, 32, 8]","[8, 64, 2]",18.514786261739758,14.435545761222421
107,"[2, 64]","[256, 64, 128]",18.97696970545617,14.615297080226565
108,[64],"[16, 256, 32, 16]",7.04972519060414,9.921192525528047
109,[64],"[64, 256]",18.45393351640488,14.76308849606825
110,[4],"[128, 128]",13.862571682515133,11.374148183931476
111,"[8, 4]","[8, 128, 4, 8]",17.7006606902821,14.5991144686419
112,"[128, 256, 4]","[128, 4, 4, 8]",18.407473919312597,14.592035452412524
113,"[32, 4, 128]","[4, 256, 32, 64]",18.757699891160144,14.718472295805164
114,"[2, 128]","[4, 64, 256, 32]",19.011661883133996,14.603641745486987
115,"[2, 16, 2]",[32],18.333850675119187,14.576935934437358
116,[4],"[16, 4]",18.338527742708422,14.543600370650706
117,[16],"[128, 4, 4, 32]",7.622033683084347,7.461732020397549
118,"[64, 128, 64]","[16, 64, 4]",,
119,[4],"[8, 64, 64, 128]",18.676047601887532,14.6387322107087
120,"[32, 8, 8, 128]",[128],18.45678551548065,14.521826206290202
121,"[32, 4]","[32, 2, 256]",18.613848699730273,14.636776916125548
122,"[32, 64, 128, 16]","[32, 256]",18.883020434926173,14.772691947895549
123,"[256, 256, 128, 128]","[32, 256]",18.850775790187615,14.752913725168805
124,"[256, 4, 128, 256]","[256, 8]",18.764596966575436,14.621374529677887
125,"[32, 16, 128, 4]",[2],18.966337593768483,14.803858694095647
126,"[4, 2, 64, 64]","[16, 8, 256]",18.615736551475305,14.594936937715698
127,[8],"[256, 2, 16, 64]",7.656339466256464,7.665441356515107
128,[128],"[2, 128, 32]",6.985777821764639,10.32249058983896
129,[256],"[4, 4]",14.499351314947427,12.268785795192743
130,"[2, 128, 32]","[2, 4]",16.54510453552083,13.400190836638215
131,"[4, 4]","[128, 32, 256, 256]",11.9182008103491,9.82811653289458
132,[256],"[64, 16, 32, 256]",13.313977522093403,12.020528854909152
133,"[64, 128, 4, 256]","[8, 8]",18.428976359331045,14.470933501228041
134,[64],"[16, 4]",13.815279916712662,13.326607334221835
135,"[8, 128, 256, 256]","[32, 64, 16]",10.658550413518427,8.529690642318
136,"[64, 2, 8]","[16, 2, 16, 4]",12.868631956242952,11.480617869956339
137,"[16, 4, 2, 64]","[2, 4]",18.25369086929101,14.721786735683029
138,"[2, 2, 8]","[128, 128, 128]",13.966484040875294,11.78904514661302
