,0,1,train_loss,val_loss
<<<<<<< HEAD
0,"[4, 4, 8]","[128, 256]",12.39817148160416,10.937347592789193
1,"[256, 256, 64]","[256, 16]",12.056161843159927,10.62304220629775
2,"[2, 2, 128]","[128, 32, 128, 256]",12.517017671087512,15.108365033320759
3,"[32, 32]","[256, 16]",6.161602615463994,10.828483886070874
4,"[128, 16, 64]",[2],11.469897087475529,7.675685756815516
5,"[32, 16, 16]","[16, 128, 2]",11.897458127529724,10.043692754196087
6,[256],"[32, 2, 256, 64]",12.329288013302762,10.971530129028404
7,[128],"[8, 64, 2, 128]",8.282357326790041,10.710628087287366
8,"[64, 64]","[128, 32, 32, 32]",12.454059266691623,10.891439934450649
9,"[32, 128, 4, 8]","[16, 16]",7.982265726707552,9.752480177516523
10,"[16, 2]","[128, 2, 2]",11.563212122073642,8.64837247459785
11,"[128, 2, 256, 64]",[64],11.475746406993137,8.113256046538767
12,"[64, 8, 8, 2]","[4, 16, 16, 256]",5.8839900743332905,6.332154246633467
13,"[2, 2, 2]","[128, 8, 16]",12.085490992292113,10.625255774000419
14,"[32, 16, 128, 128]","[128, 64, 8, 16]",12.308606672126313,10.916314641237259
15,"[16, 64, 64, 64]","[16, 32]",11.77469181965486,9.223196634002354
16,"[128, 256, 64]","[256, 32, 32, 8]",12.471141114519991,11.106707850487334
17,[2],"[64, 32, 32, 256]",12.0652521483328,9.828616048719573
18,"[8, 64, 4, 128]",[32],11.547478147527444,7.93574757034364
19,"[32, 64]",[4],12.231565129826897,7.563778585020616
20,"[128, 16, 64, 32]","[2, 16, 8, 2]",11.619324984848499,8.502682621582695
21,[16],[64],11.441666316542936,8.089086118327533
22,"[128, 2, 2, 4]","[256, 64, 32]",12.476664316167003,11.049860622520029
23,[8],[4],9.666659707564376,8.181256037712421
24,"[256, 256, 32, 8]","[32, 2, 256]",9.517584899904934,19.378317403586017
25,"[8, 4, 256]","[64, 256, 16]",12.30849713601755,10.842782279201176
26,"[16, 256, 8, 128]","[64, 2, 8, 16]",11.89927477458508,9.815273475284163
27,[64],"[32, 2, 16, 4]",5.037937937230519,7.349455992968185
28,[16],[256],5.983779903427415,8.161522274781829
29,"[8, 2]","[16, 16, 2]",6.087353793823201,11.029385357693483
30,[128],"[16, 128, 2]",10.854779570631358,11.186701832128605
31,"[2, 32, 2]","[4, 32, 128]",11.052077019608538,10.834745957125788
32,"[128, 128, 64, 2]","[256, 16, 2]",9.344831874629726,10.112741528827213
33,"[2, 32]","[32, 8]",11.556202792003102,8.349359729626906
34,"[16, 16]",[2],11.96243768966457,7.690435860811368
35,"[128, 256, 32, 4]",[64],11.478678353170983,8.123480355454529
36,"[4, 16, 256, 2]","[16, 256]",12.005789133911547,10.389649830641954
37,[64],"[4, 256]",11.777987089395523,9.726548926363819
38,"[2, 128, 128]",[2],12.851174806274797,7.818980840075273
39,"[64, 16, 256]","[8, 32, 4]",11.815066556724519,9.230981094292972
40,"[64, 4]","[128, 32, 8, 4]",11.573054077713387,9.496133952892345
41,[8],"[2, 2, 4]",11.507119528766559,8.115816468415053
42,"[2, 2, 4, 16]","[16, 32, 128, 64]",12.204501801112421,10.618526772053348
43,[16],"[2, 16, 2]",10.06372119676678,7.1770317922143825
44,"[8, 64, 8, 128]","[16, 32, 32, 256]",12.035795021508049,10.066964318233987
45,"[64, 256]",[256],11.690452275527559,9.37814831080644
46,"[8, 8]",[16],10.409641680511443,7.985214361587297
47,"[2, 8, 32]","[8, 16]",7.30427977794668,9.688921234685443
48,"[32, 4, 4]","[32, 128]",5.184483472389371,7.583061428782731
49,"[128, 256]","[8, 32]",11.652906641620659,8.876010258716086
50,"[4, 128, 128, 128]","[128, 128]",12.210348555300545,10.771969074943792
51,"[2, 2, 16]","[128, 128]",6.8558531203950235,9.829760164867924
52,"[64, 128, 32, 128]","[4, 256, 256]",12.502207929896272,11.042778079768885
53,"[2, 256]","[64, 32]",11.952233507685039,10.284358319977054
54,[2],[128],5.9809678717650785,7.577180570921172
55,"[32, 16]","[2, 32, 128]",5.498455651721878,6.822184091236282
56,"[32, 4, 16, 4]","[4, 8, 32, 2]",11.947179396944202,9.669149527705235
57,"[64, 2, 4, 32]","[2, 64, 2]",8.954013167893109,7.889577340820562
58,"[4, 64, 8, 64]",[4],11.71099881111798,7.613342800386574
59,"[256, 8]","[16, 8, 256]",8.267195215569892,9.623851722608443
60,"[8, 2, 2]",[8],12.071666231795495,7.803476816312126
61,"[64, 32, 32, 16]","[8, 256, 64]",12.342309765390725,10.98387006951415
62,[16],"[128, 8, 16, 2]",5.2107224605977525,9.021663626536077
63,"[128, 16, 64]",[16],11.639783662653487,8.133540871259958
64,"[16, 128]",[8],12.50707475160775,7.677174091669527
65,"[8, 2, 128, 128]","[16, 4, 32, 2]",11.841453910148664,9.688646763977797
66,"[4, 32]","[4, 256, 8, 128]",12.082566892815674,10.08116457146147
67,[16],"[8, 2, 2]",11.155399349935681,7.759725409435188
68,"[128, 4, 16]","[32, 8, 32]",11.965655004012845,10.142121713783432
69,[8],"[64, 64]",10.749032923682877,10.272363733830657
70,"[4, 4, 4, 8]","[8, 8, 4]",11.681695605298746,8.550837091181588
71,[2],"[2, 128, 256, 256]",12.661342312608076,11.020885094844775
72,[32],"[32, 256]",11.983303975030132,10.326101515189462
73,"[128, 2]","[8, 8, 2]",11.930523868856223,8.743020352202914
74,"[32, 32, 4, 32]",[4],11.852884382345104,7.915878756506288
75,"[256, 256, 8]","[32, 4]",11.735379280433706,8.735365616718065
76,[4],[32],10.884241339214471,8.908117467359356
77,"[32, 4]",[4],11.226480565243442,9.012686566321745
78,[128],"[4, 128]",10.282137471209401,8.410244868060818
79,"[8, 128]","[32, 128, 64]",12.335066391286643,10.979908163132873
80,[64],"[256, 4, 2]",11.339679373380926,10.05407092726749
81,"[8, 128, 8]","[64, 16, 64]",12.162686447889909,10.710016354944393
82,[256],"[256, 4, 8]",12.051550075100815,10.551947265863419
83,"[16, 32, 8, 64]","[128, 2, 8, 8]",12.033021665693623,10.417630367382712
84,"[8, 256, 64]",[4],11.749098045960718,7.74420059637531
85,"[16, 256, 16, 256]","[128, 16, 8]",12.095919285851975,10.680517955344659
86,"[16, 2]",[16],11.578497966766358,7.859475139107394
87,[128],"[16, 8, 4, 16]",10.058625279219255,9.686672204512618
88,[8],"[32, 128, 64, 32]",8.689520834662993,9.216007443951524
89,[64],"[128, 64, 2]",11.445665655369346,10.19548799711725
90,"[4, 2, 4]",[64],11.419841310747293,8.38156235140303
91,"[8, 32, 64, 2]",[8],11.83318880778033,7.756610079640929
92,"[32, 32]","[16, 16]",11.542127097154442,8.571431792896727
93,"[64, 16]","[4, 256]",11.758102618862754,9.596737612434056
94,[64],"[16, 4, 8]",11.718089444198037,8.896955503380818
95,"[64, 8, 4]","[2, 256, 64]",11.898387634559818,11.00959021793759
96,[32],[8],11.395413934277451,7.773013414507327
97,"[2, 64, 4, 256]","[256, 2]",11.829648780879769,9.373623198218967
98,[128],"[256, 64]",8.704211171401585,8.92228630731935
