,0,1,2,3,train_loss,val_loss,train_loss_sd,val_loss_sd,ind_mini
0,8,,,,4.238482858630327,6.180492792129517,1.4093245788527404,1.1631037484099043,19.77565074156504
1,4,2.0,,,5.075670391169305,5.712483355998993,1.4081483975983975,1.230392234098113,17.073165571147232
2,8,256.0,2.0,,2.7472137144351234,10.920491511821746,1.6019218148133259,3.482079161740634,65.69100507419958
3,64,64.0,8.0,32.0,0.9983215416389821,15.312465195655824,1.6039464439916027,3.271546813505812,122.58730446056549
4,128,,,,2.118684602159147,10.865194249153138,1.4457208748542227,3.432895294173912,64.9186080862959
5,64,4.0,8.0,,2.296897734415789,13.916252882480622,2.028546422592783,5.2533253731573,110.62976088270425
6,16,,,,3.638143496415936,7.231551631689071,1.4554090894904754,2.4964047182211058,29.263687759470734
7,128,16.0,4.0,,1.3673674304454695,14.178652595281601,1.8570591957081042,3.9598871634848574,108.35744788260892
8,16,64.0,16.0,,1.4228464764403177,15.43058396100998,1.6851002352243134,4.386866870153468,128.67376115711426
9,16,64.0,8.0,64.0,1.0822142694662145,16.59029891848564,1.6884265896922341,3.5588885258415908,143.95185287203637
10,128,8.0,128.0,128.0,0.656507948353694,16.506441786289216,1.3311994514168313,3.044053290126927,140.86444043864364
11,2,4.0,,,4.829334532297574,6.0839083445072175,1.2911171641143484,2.1179611779342693,20.749850147800636
12,128,128.0,,,0.6471693955595121,16.339553790092467,1.293208010550798,3.307621690411242,138.960689653102
13,64,16.0,2.0,,1.8069418488750955,15.36166407108307,1.7463927596557476,5.101437768733504,131.00269517053258
14,64,,,,2.5882298490641493,9.28631705880165,1.53711141925989,3.0650102540395765,47.814986186979134
15,8,4.0,,,3.720460067491692,10.598076555728912,1.734727755240375,3.6049888713096387,62.65758572167858
16,2,32.0,64.0,,4.206005978504053,11.981235947608948,1.0556828860999619,3.615131697809995,78.30959601239373
17,128,2.0,2.0,,2.8514842219306877,13.429447004795074,3.542206637058479,5.817383452127653,107.09599854184401
18,128,8.0,64.0,,0.9587260796280148,16.7312761926651,1.4853386834114573,4.015572493196947,148.03021274168094
19,128,16.0,2.0,,9.437695287119311,4.157845523357391,0.26832318972577796,0.13369731507073626,8.652777184080112
20,256,,,,1.664825342723097,12.59305909395218,1.37814859171611,3.859830925136292,86.74171605720508
21,16,4.0,32.0,,2.46919541067802,13.375626881122589,1.5992855051243149,4.061404101982667,97.70119887130541
22,2,128.0,,,4.163335830875887,9.755159206390381,1.2494145307719287,4.238325063565445,56.56326524323502
23,8,16.0,,,3.2180858423073704,11.664715301990508,1.6695686492800004,4.981471003632322,80.44031821826057
24,2,16.0,256.0,,4.391266572653102,7.354976668357849,1.242683228502071,2.523354031048229,30.231498679047835
25,2,8.0,,,4.908651705232377,6.631983230113983,1.1865537784923617,1.3319845242604087,22.878692168691163
26,32,16.0,16.0,2.0,1.861974694995353,18.437579805850984,1.7546473590321654,6.980539603659365,194.33614112769044
27,32,128.0,,,1.1761198280873493,16.48975330352783,1.5344721117471858,4.270180600781911,145.0732031872506
28,64,8.0,32.0,32.0,1.0156605318862981,16.579578478336334,1.621892123096223,4.305995501745036,146.71200989018092
29,32,32.0,2.0,,2.1261671481847473,13.475019662380218,1.8419739265478448,4.485658954382956,100.84864557828473
30,2,,,,5.6638893266480705,4.9840011358261105,1.7431275821914851,0.5526933143411263,12.57286861081667
31,64,128.0,2.0,64.0,0.969112798220281,18.524237616062166,1.3799174005285466,4.100805627457196,179.98199302525856
32,4,64.0,32.0,8.0,3.306297823308179,9.804989733695983,1.4266984212542564,2.462655163887232,51.10124706705204
33,2,64.0,4.0,,6.778044822508326,5.044850299358368,1.337282923297434,1.0828306309071913,13.31151835908354
34,128,64.0,32.0,,0.7042897945569264,17.66534059405327,1.480806257487044,3.9544651182030766,163.85102633749557
35,4,2.0,4.0,,3.8898507793878125,9.245556100606919,1.8296590035317668,3.368387392620563,48.41317061811748
36,4,128.0,,,3.3200013457381954,10.491235700845719,1.2874038359838103,2.8958613547175935,59.22601975822329
37,256,128.0,,,0.5601691078575319,16.80730958223343,1.1511124546502525,3.0539648677871964,145.90617840335705
38,128,8.0,128.0,,0.8747714154577654,12.057560715675354,1.4973336306364746,2.125156148962769,74.95052953483591
39,4,32.0,2.0,64.0,4.689720801669531,9.562911108732223,1.4979024450178593,2.8830209658800836,49.88053938160915
40,8,64.0,256.0,,1.6756522547267378,12.799386553764343,1.6257750472690382,2.651622339598296,85.4276985922701
41,2,32.0,2.0,,4.637982524687854,6.917500236034393,1.2912601289930437,1.4246992411269326,24.940788721601773
42,128,16.0,32.0,64.0,0.8162584337594364,13.773832067251206,1.4627210299357525,2.702134450221416,98.5099902019555
43,4,8.0,,,4.147752257278905,8.066809542179108,1.5929841967655116,2.476532073512716,35.60331365046456
44,16,4.0,2.0,,3.484635591663133,10.02808645248413,1.8842905044081009,3.7738378218231214,57.40218490195921
45,128,16.0,,,1.3727792009489181,16.777017254829406,1.5726633905036103,4.905205445257019,152.7646742145114
46,64,128.0,,,0.8132635760985655,15.807125970125199,1.4483066503720523,3.427274090764948,130.8057195643176
47,32,2.0,128.0,8.0,1.9949203010748784,17.426804506778716,1.4114435335461535,5.756427455678388,168.41498618498545
48,2,8.0,256.0,8.0,4.663136293451086,8.825064623355866,1.305092869409454,2.639289506231802,42.42380735205626
49,16,256.0,,,1.36892344187372,13.195816233158112,1.5634020807964988,4.0204990818560145,95.1469894632421
50,128,2.0,256.0,,1.2897883864431285,17.073957914113997,1.759060671996548,3.794457766740151,152.95897429825533
51,16,64.0,,,2.0290766537884393,16.691164281368255,1.5011388151646778,4.84899352230385,151.0538516234841
52,8,64.0,,,2.722115560760005,12.030749250650405,1.4848258308920028,4.555668164683481,82.74651997936792
53,4,,,,4.764833674127092,5.020336138010025,1.4867621245719813,0.5409029085195409,12.748175447527156
54,4,4.0,,,4.842581742698183,6.077135698795319,1.6660322057635601,1.1673059066169087,19.147090690597594
55,2,2.0,256.0,4.0,4.115991822628734,12.161516070365906,1.3002592721679056,5.691336685431856,90.14689319835531
56,32,4.0,,,2.8346800601751045,11.22248173236847,1.9106866725190113,4.19057651060293,71.75251386228052
57,256,4.0,8.0,,1.1914802427615863,16.232767724990843,1.6392165333070228,4.283054518373429,140.92365201043174
58,32,,,,3.0960496397259147,9.077340128421783,1.4721721699442085,3.080982816229655,45.9452794604794
59,8,32.0,,,3.108404429388734,9.008448168039322,1.600361395958878,2.9051170097574968,44.795921618316676
60,128,256.0,64.0,4.0,5.149776549187596,5.40607484459877,1.886501679423973,0.8245690260529069,14.952779652064727
61,16,8.0,,,2.7480128895290767,11.064148161411286,1.5875638538801107,3.2119356462847706,66.36595256676775
62,4,16.0,,,4.004405692506294,11.639274370670318,1.7484042614212423,4.228831764624644,76.67786298462065
63,2,4.0,256.0,16.0,3.5745397694810084,29.74365149617195,1.0241879897141868,8.496898667388935,478.44104564480386
64,256,32.0,,,0.8777740261294821,15.078043978214264,1.421311942554904,3.14965172592417,118.63385810179028
65,16,256.0,256.0,,0.630712221742086,12.1555679666996,1.333144431093205,2.3248260667806897,76.5813244169182
66,64,2.0,8.0,4.0,2.142028860535759,16.5758957362175,2.5058534796478544,6.3571828312229215,157.5870465037745
67,8,256.0,,,2.0705632553478845,19.31629526376724,1.641949964264121,7.263216043723202,212.93678500741743
68,16,2.0,32.0,4.0,2.6686884131554804,14.69745906829834,1.7252460834406318,5.663695997748363,124.04637770960797
69,256,8.0,2.0,,5.070923732158441,6.444294428825378,1.7437947578588207,1.860292915063672,22.49481020761295
70,256,128.0,32.0,,0.5064126618049339,16.884003365039824,1.2444502251047174,2.6510291113507334,146.04876248995257
71,16,8.0,64.0,32.0,1.8083908091421024,13.558125445842743,1.562301882304373,4.105774206070065,100.34007371821937
72,8,128.0,4.0,2.0,5.2487521262123025,6.808414884805679,2.111488238423627,1.4917978729695516,24.289987068720006
73,4,16.0,32.0,,3.3395784660213836,9.56667489528656,1.4415921749188245,3.285868209874175,51.159099222383915
74,32,64.0,2.0,8.0,2.006772091471805,15.579837555885314,1.7760172432903818,4.488553268872695,131.4392243576411
75,128,128.0,256.0,8.0,0.5562912160549016,13.30803393483162,1.3175807515881655,2.387680145892965,91.40239184486072
76,32,64.0,16.0,2.0,2.069893260203087,16.383450031280518,1.5149335098002732,5.289482778557145,148.19803149605912
77,8,8.0,2.0,16.0,3.5072546916082503,10.412729033231734,1.620266645619813,5.423054203720153,68.91722140799696
78,256,64.0,16.0,,0.7542681830570487,18.478164994716643,1.4508382395682538,4.412210400869713,180.4550910967572
79,256,16.0,32.0,,0.7857638715551002,15.005535045862198,1.4197660142057769,2.991075343594014,117.05630686182734
80,2,128.0,4.0,,9.428732923555833,4.158991528749466,0.25534418955469995,0.13401286265634688,8.657584991783583
81,2,32.0,4.0,,4.616763971482332,7.431211605072021,1.2284758902965058,2.279149091924682,30.20871325128909
82,8,2.0,16.0,,3.508471462984497,9.583217899799347,1.599858891082437,4.085996922187585,54.266718081580514
83,8,128.0,16.0,256.0,1.2440252524438815,17.626189699172972,1.532974174108548,5.767770136101719,171.97486782706912
84,128,128.0,256.0,16.0,0.5191968646877342,15.595575845241546,1.2553691975397012,2.5427759969083206,124.84384785756734
85,32,4.0,4.0,128.0,2.0361135270625637,15.333489898443222,1.6221807793563177,4.695774074744934,128.5831033133535
86,2,4.0,256.0,8.0,4.608838343393917,7.679496850967407,0.987680334778965,1.401720516832219,30.46974614566335
87,8,4.0,16.0,128.0,2.987943732168239,16.569584716558456,1.7788423657564782,9.01791000692926,177.93691928614123
88,32,16.0,4.0,32.0,1.415773027123561,16.20710930109024,1.9220664251769988,4.919187148911148,143.43439705174922
89,8,128.0,128.0,2.0,2.222991545826483,17.192863560914994,1.4873120280866816,6.1234648134077565,166.54568937264074
