,0,1,train_loss,val_loss,train_loss_sd,val_loss_sd,ind_mini
0,0.0918,64,139.24365139424802,106.92535429477692,1348.8658100295102,994.1692287951,499902.74343705375
1,0.0898,2,16.851839126047444,8.276288068294525,102.05100167531417,6.695690295519543,56.664606361454446
2,0.0592,64,18.93514831185341,18.981711575984956,158.60812565963624,139.74799474520535,9944.90370482991
3,0.0857,4,6.269781180281335,6.590789818763733,38.28738482112871,1.959453891074119,23.638984993182593
4,0.0082,64,0.8382259870693087,2.3312597715854646,2.2308411834135944,0.9123276971388081,3.1335569747896566
5,0.0061,16,0.571583124930039,2.1322247540950774,1.362804608198619,1.2713681839857576,3.081379730613528
6,0.0102,16,0.7540293447952717,2.044692966938019,2.008063105812464,1.290732141027911,2.9233793944641464
7,0.0,2,21.16640269273611,20.498970642089844,1.5419078886702134e-07,1.0049392602782815e-06,210.10389869263116
8,0.0265,32,1.3710564107680694,3.4895593118667603,5.049506620588972,2.287385379757708,8.704578033282665
9,0.0694,16,9.348493637079374,3.985181224346161,75.75513780313729,2.893930329655472,12.1282510718905
10,0.0449,32,3.7452178241405636,3.6495278120040893,24.429855109210497,3.8323773424295875,14.003084672679512
11,0.0286,16,0.7633552160870749,2.387868914604187,1.6197260260946902,0.9230171182831813,3.2769392769883834
12,0.051,4,1.4244872889932816,2.9951499831676482,2.833448700717536,1.8844016494804774,6.260946499116953
13,0.0796,4,12.198233417910883,4.175739538669586,99.19790855038319,3.6857171823285886,15.51065592146034
14,0.0571,2,2.0820149014721845,4.842366557121277,3.806520878228815,2.0621839867133955,13.850558334291863
15,0.0673,4,2.874362576902629,3.748863544464111,7.072843107378823,5.3096804702314415,21.1233422854846
16,0.0694,2,4.290710418552983,8.396415197849274,8.978556519730464,5.750873483571618,51.78616699936071
17,0.002,64,1.6418556797504424,3.186057274341583,3.382697760733012,2.3836741778929302,7.916431770869227
18,0.1,2,38.085630433861574,52.00207831382752,157.11948303566356,344.1114759665795,60558.46202042764
19,0.002,32,0.8218504870124161,2.5777096223831175,2.0669731754362184,1.2297634800805228,4.0784525571331365
20,0.0918,8,19.48710445720969,5.811607625484466,162.34777932513097,9.356953270602796,60.66367885041678
21,0.0776,64,61.32948066011071,49.85991160154342,578.704549664118,441.7049479853385,98794.63592982215
22,0.0306,4,1.021552198441932,2.6702960312366484,1.6673586775737175,0.9688915903493162,4.034615904143911
23,0.0531,4,1.6554915062531543,2.9612164080142973,5.832440101539444,1.3136288994652678,5.247211750301714
24,0.0408,8,1.5892177795432503,2.3999402594566344,5.722226633554823,0.9185597502781399,3.3017326318959084
25,0.0245,4,1.1359292050150152,2.2513313710689546,1.9754088060429535,1.2800767723083897,3.353544742681342
26,0.0,4,20.838327830781836,20.180404777526856,2.8226749004733024e-07,1.9039123097942782e-06,203.6243684924162
27,0.0469,2,2.106959444665106,4.144278798103333,7.301722102335412,3.740708344033384,15.583972835764893
28,0.0449,8,1.8316645623836663,2.6635608637332915,7.727053420913917,1.509271316394912,4.686228190652034
29,0.0531,16,3.069914847809705,3.249972620010376,21.88031784484913,1.8289429097789036,6.953677099023815
30,0.0939,8,16.53898688520837,5.03598037481308,138.65090166392812,3.411848679811297,18.500904874716287
31,0.002,4,0.3728324831248028,2.1843187260627746,0.7386883959759523,0.4726424565092558,2.497319594361803
32,0.0612,8,2.9271043773767143,2.57151287317276,16.90479318486723,1.6193241118239357,4.617444518013801
33,0.0816,2,5.677126886665759,9.420218410491943,16.765322456843904,4.057070131889378,52.60016647822012
34,0.0837,64,77.26327818065882,63.575964012145995,728.8901866883014,564.015223821694,161077.53795135464
