,0,1,2,3,train_loss,val_loss,train_loss_sd,val_loss_sd,ind_mini
0,256,64.0,64.0,,0.4566556032148322,2.4464576804637908,1.843611623425679,1.4245491260658765,4.007247697437662
1,4,4.0,,,4.802920351794789,6.8141422986984255,6.2361569688907075,4.827869609869075,34.870430118404215
2,2,2.0,,,3.249628196677991,5.147522261142731,4.509450689544133,4.018404256881564,21.322279100341923
3,4,128.0,16.0,2.0,21.537695837446623,20.908241357803345,2.4267177957829777,2.223720919212241,221.0497457013502
4,2,,,,6.553453078216741,8.929875299930572,6.700049739295503,5.50561302473511,55.027223825221505
5,32,256.0,2.0,,1.2273734329245052,2.8004679822921754,3.4441519755853913,3.1162156165444004,8.776710344319403
6,4,256.0,,,1.1179955512784157,3.4329323148727418,2.3154769723485424,2.0948778664713243,8.086768776964485
7,128,256.0,128.0,8.0,0.4421179582380656,2.5517935299873353,1.9703927130540349,1.4140721646543333,4.255625153267709
8,256,2.0,8.0,,1.3627469041650848,2.9076122069358825,3.431535296884075,2.956006057002305,8.596090277478435
9,2,128.0,,,2.2551393300694014,4.0796130180358885,3.716123673587544,3.1225304774024596,13.196719479617562
10,64,32.0,2.0,64.0,11.604016442639487,11.503156642913819,1.875532401674896,1.5484024110314614,67.36008138895018
11,128,16.0,128.0,,0.6372938812958142,2.6083953052759172,2.3785904876309742,1.963259174763937,5.32905632794011
12,32,256.0,4.0,256.0,11.280301112788063,11.237406373023987,1.2485347386971657,1.0656426224236109,63.70744809560299
13,128,,,,1.2013415274995245,2.8921764171123505,2.6750425799226547,2.4971932305854065,7.300329229291206
14,128,256.0,2.0,,0.6028740007263177,2.4257164472341537,2.152166872085651,1.6967117612402776,4.381465541556684
15,32,2.0,4.0,,2.930714288146368,4.813396543264389,6.101075817426275,5.41655326345032,26.253917769251938
16,4,8.0,16.0,2.0,3.5335712671146866,5.091543375253678,6.4130763935672315,5.578401106548438,28.521186423815223
17,32,128.0,,,0.9194242674371759,2.578837500214577,2.5842366019819853,2.1787337333021255,5.698641766570793
18,64,256.0,,,0.5041535194218508,2.0141903162002563,1.7634661865559846,1.3608627907373814,2.9544550825442113
19,4,2.0,,,19.412105518840253,18.802687811851502,2.335525284749839,1.9662885844453926,178.70367987363466
20,128,32.0,,,0.6363253962221954,2.3971920120716095,1.7809719610381165,1.458057928630574,3.936231232991206
21,256,,,,0.7683616537507625,2.5822606146335603,1.980958807705986,1.6504253350495088,4.695986834230488
22,16,8.0,256.0,8.0,1.1994135686645417,3.5716595029830933,3.0971200595517296,2.5720487070416334,9.686093078321989
23,128,2.0,,,1.5142779302560458,3.0889607346057892,3.4966795267528203,3.0957699942968295,9.562735138762465
24,32,8.0,128.0,128.0,0.7013902068600457,2.33978363096714,2.334250432409828,2.057177001405086,4.853282327425898
25,32,2.0,256.0,,1.46149245823667,2.9192912471294403,3.1572744799547627,2.500900634883157,7.388382685562771
26,64,8.0,16.0,,1.6305687099503954,2.9221864062547684,4.048161784784328,3.6103623123531965,10.786944709680238
27,32,,,,2.5655465071741492,4.601544574499131,4.877250541762573,4.51104336936623,20.761862375702705
28,2,16.0,16.0,128.0,2.324640200047621,4.265837086439133,3.6028221224127273,3.0395087143534147,13.717989636334929
29,32,2.0,64.0,,11.66585407938276,11.55627543926239,1.9320735262809559,1.628815313854728,68.1002706773734
30,64,,,,1.729165647607962,3.3204761463403702,3.4453209615169,3.13574694278507,10.429235363800654
31,64,8.0,64.0,4.0,1.2099070486316592,2.771765461564064,3.3487284341446624,2.935217785509642,8.149093611145789
32,256,128.0,,,0.38165181374485,2.4640102124214174,1.3553583811552772,0.8830152636806303,3.425531141405006
33,4,4.0,2.0,,20.740013659282454,20.087763357162476,2.4434296563668587,2.111195369484001,203.9876912907451
34,256,2.0,2.0,,1.4376800865001444,3.048305710554123,3.2272214713235834,2.8829643286845488,8.801825512732215
35,64,4.0,16.0,64.0,1.556902878633326,3.1816323727369307,4.228660177204819,3.6533718307619827,11.734955144526396
36,2,4.0,4.0,16.0,5.62602922245328,5.546995854377746,5.316666151320998,4.85612486972132,27.175555879404907
37,32,16.0,64.0,64.0,1.0544252832677115,2.8379798245429995,3.1984064396071066,2.627837678642685,7.479830174903645
38,256,32.0,2.0,128.0,0.6473981214387706,2.5173776042461395,2.458846941987003,1.838893658522491,4.8593599448571325
39,8,2.0,32.0,32.0,2.3347691118770415,3.959243339300156,4.795785002350514,4.019247599079809,15.914979541250728
40,8,64.0,,,1.8309320807563407,3.8969275438785553,4.3552090818511076,3.7816974277716757,14.743639858727128
41,8,16.0,8.0,128.0,1.3770164139276104,4.052229305505753,3.3436553764836088,2.518599983586001,11.38195411085952
42,16,64.0,8.0,,1.4495236438260013,3.198166662454605,3.8854939789790883,3.396972831127237,10.883847208126312
43,128,256.0,256.0,,0.28708043388595145,2.6416323590278625,1.3202240582513736,0.8038970750900487,3.8122360138007227
44,8,,,,3.9835000815295754,6.347402621507644,5.456405613142984,4.571919242204193,30.595982798379538
45,16,32.0,4.0,,1.7787703360324456,3.298535076379776,4.306665967708285,3.619924769059474,11.992094491879012
46,16,128.0,,,1.0390598709848045,2.7405954736471174,2.715619774047899,2.2783234468121165,6.350810639234456
47,64,128.0,,,0.6370631487614342,2.552605432868004,1.968190266110424,1.5907107100618294,4.523077529506329
48,32,16.0,256.0,4.0,0.7444842937340062,3.2582282102108002,2.570871433056032,2.047564951567448,7.40428665035044
49,256,8.0,128.0,128.0,0.4842945845791005,2.5425843727588653,1.8852477417504008,1.3900129892703086,4.198435701468886
50,4,,,,7.451166191058499,9.913578701019286,7.05127101406193,5.098473717719505,62.136738455789896
51,128,128.0,16.0,,0.6736444874945612,2.462208936214447,2.423481454052164,1.9521838222269858,4.936747260669521
52,256,16.0,2.0,128.0,0.8336858231312361,2.4806532669067383,2.8235045544979216,2.356674834698546,5.853778453558247
53,8,32.0,16.0,32.0,1.3314249070507609,3.0781428456306457,3.577794063036423,3.088804538046579,9.507838426182134
54,128,256.0,,,0.36305772258692215,2.2804853951931,1.3591921897142365,0.9717666402269575,3.0724720203735094
55,16,16.0,16.0,,1.618179832229923,3.198865923285484,4.013804301838379,3.5129270294555854,11.286699754718368
56,16,8.0,,,2.7690922341529016,4.283171690106392,5.3875662313031825,4.7012553119057525,20.22368061732545
57,2,2.0,256.0,32.0,1.5353124896929202,3.0549594485759735,3.2071676973253442,2.509628163286595,7.815505375202433
58,16,16.0,64.0,,1.3029354722360482,3.070372078418732,3.733471779929235,3.1281822093138776,9.606354317300607
59,64,64.0,,,0.8578113474074884,2.388307169675827,2.479299033525767,2.194358885133009,5.2596110267435705
60,32,16.0,,,1.325703951669857,3.1921438717842103,3.166019060109354,2.8836965956010174,9.252744276825194
61,8,8.0,,,3.1522322621595653,4.43270300745964,5.6972372340222055,4.929233505663814,21.973099452850256
62,256,2.0,64.0,8.0,1.0326747264283975,2.8146917057037353,3.360943212371833,2.807013874138187,7.900908143880839
63,8,8.0,8.0,,2.3385744312249255,4.382304184436798,4.5450857097772,3.8115316878108256,16.866181886059152
64,128,32.0,32.0,,0.8108497715392149,2.541944497227669,2.741518263082213,2.23457139109068,5.727395564433481
65,128,8.0,64.0,64.0,0.8916027652781591,2.945270999670029,3.0892253493208996,2.5089796397184654,7.484800047009546
66,32,64.0,,,1.0924297041584838,2.5703235411643983,3.0284557767418923,2.5874469784985616,6.650722486402614
67,64,2.0,,,1.5477208742472741,3.385187336206436,3.213906831601097,2.9481936623155955,10.075669585865136
68,4,4.0,64.0,,2.118546935303935,4.387254977226258,3.9530045926542012,3.3844033030091016,15.351095976307743
69,128,64.0,4.0,,1.145712747398897,2.629449806809425,3.575812260943539,3.016498183537969,8.006633788908996
