,0,1,2,train_loss,val_loss,train_loss_sd,val_loss_sd,ind_mini
0,0.0857,16,0.799,90.2692140763253,5.206029455661774,864.6707737491407,3.3278991634152124,19.088827767538852
1,0.0286,64,0.9849,4.311683855652809,5.943721804618836,10.20906999097948,7.454206353001591,45.44651062191534
2,0.098,64,0.4121,1461.4605178380014,1181.991720843315,14511.875007262843,11712.762540474285,69292955.37883988
3,0.049,16,0.2161,2.163772459058091,3.543589196205139,9.052022643568495,2.7842810506812135,10.154622680322133
4,0.0796,16,0.1658,28.391359045493882,3.9405431389808654,265.0224231886447,3.7795753490896487,14.906535024807656
5,0.0061,8,0.2814,0.750021780992725,3.3016436672210694,1.4940128354536566,0.5731767355952672,5.614691237764319
6,0.0184,32,0.3065,0.9291843175888062,3.1678347516059877,1.785558547409593,0.518653525430982,5.152089246462278
7,0.0939,64,0.3869,1597.8627342659236,1193.3637079191208,15835.20254649846,11786.794344614285,70176318.93080488
8,0.0082,2,0.5578,1.4276876244743468,3.802070879936218,1.6774817159710893,0.8939428087652608,7.627438360701046
9,0.051,2,0.9849,289.7250044014698,38.475523195266724,2002.8893119765823,287.33069411644715,42019.64683329441
10,0.0653,64,0.2111,42.51171941697598,40.67404407978058,391.7926301424185,355.357750396629,63966.754314378406
11,0.0857,16,0.6382,39.36924416811671,12.189723854064942,344.21471773529896,63.996506626803566,2122.0711140364365
12,0.0041,16,0.9749,1.2039343016874045,4.040251734256745,3.491240080324903,1.0780802337133735,8.742945533244058
13,0.0592,32,0.8693,16.14193058639765,6.514400305747986,127.29232627296648,4.714627071073319,32.33255988141342
14,0.0286,16,0.2864,1.690558002544567,3.631467270851135,3.659104394056229,2.0870237398061957,8.771611314888816
15,0.0653,4,0.1457,7.080395733878159,6.20533863067627,18.269374157891665,5.0197637446451635,31.85212778670864
16,0.0694,16,0.9698,36.8397148400615,6.291650257110596,344.96760657845533,3.9918848751246014,27.760003907024192
17,0.0163,8,0.2563,1.0507137075159698,3.3406922125816347,1.4033332569697077,0.6981900878018239,5.823846928954148
18,0.0959,4,0.3015,66.34813138515186,23.678598086833954,352.0659780362131,119.40082494267375,7408.61650217442
19,0.0,8,0.4774,32.30896570229903,26.198221282958983,1.762181176766515,1.9058221430659176e-06,343.17339919544435
20,0.0367,16,0.4171,2.454526258464903,3.8617158722877503,7.980796653444778,3.0562435415304603,12.126737031712896
