,0,1,2,3,train_loss,val_loss,train_loss_sd,val_loss_sd,ind_mini
0,8,8.0,,,8.768372871847264,5.575299479961395,2.1517932138133142,0.6981097360754372,15.78566074743056
1,32,256.0,128.0,256.0,5.008929080830917,8.634103319644929,1.8156896791628512,1.4612888857006543,38.34155267088792
2,16,2.0,64.0,,8.290182484203106,6.210046813488007,1.3317346580003087,0.2984798707640991,19.326885829481952
3,256,16.0,,,7.077481203870899,6.663104166984558,1.1284258438615473,0.7601387850915583,22.487384056343725
4,4,,,,9.226461681603897,5.30865458726883,1.8349083084993,0.606507755852503,14.274832592419815
5,8,,,,9.021586439073737,5.173847260475159,2.1085773404359247,0.6987554874970605,13.62847735301678
6,128,256.0,64.0,2.0,17.135443458692706,14.6938032579422,4.146980917655072,1.217134082490099,108.69463477893592
7,4,64.0,,,8.450410707562021,5.779110281467438,1.33725508780851,0.43159746871828686,16.792196010183343
8,64,32.0,16.0,32.0,6.538438511252647,8.132892880439758,1.547396460262334,1.5783393508273198,34.317550855538855
9,16,64.0,,,7.647725656749121,6.3510553693771366,1.2012028855428865,0.41741789128950757,20.255071000431368
10,256,32.0,,,6.983669585234542,6.460068054199219,1.2072346483439678,0.6872170355012616,21.102373259384212
11,16,2.0,2.0,,17.225788284893568,14.706569595336914,4.384420372547069,1.2553121511688625,108.92949892968018
12,128,,,,8.251168735488598,5.466796259880066,0.9832535616790331,0.2180500663055745,14.966703589227272
13,128,8.0,4.0,,8.270850611004185,5.912476217746734,1.4223353503316434,0.4357018374743127,17.57360555829961
14,64,32.0,,,7.520727130211279,6.584818742275238,1.1536048782089403,0.7297209548723881,21.946165270299556
15,32,8.0,128.0,,7.007996723493103,6.937280795574188,1.2387177277878516,0.8258659428445823,24.403959696096507
16,256,8.0,,,7.8866105966367686,5.754095628261566,1.0675371585127522,0.5115531912314699,16.685651583318982
17,64,8.0,,,8.209774762828493,5.826145629882813,1.1889327848159401,0.4240479986023299,17.061894802860618
18,16,,,,9.116838446875088,5.443543729782104,1.8067403719642312,0.4688707749312915,14.926004070817365
19,64,4.0,32.0,32.0,7.075785960353137,6.844966893196106,1.3870895997263402,0.6948632407206058,23.668203346127747
20,32,,,,8.74183154077315,5.365264146327973,1.4396044219794497,0.24935706339757222,14.424119152469345
21,32,256.0,,,6.514058165408548,7.105280487537384,1.2370511457325009,0.7679258714051607,25.537360475276433
22,32,16.0,,,8.080023929699035,6.1112679815292354,1.133874587036545,0.3794509842242127,18.74578969574657
23,4,2.0,128.0,8.0,8.883804120260999,7.060194494724274,1.0828315793696421,0.40872863201213894,25.00670269898073
24,2,8.0,,,9.230972782708909,5.533184716701507,1.9333382849286493,0.6684285680548342,15.53146492986549
25,16,128.0,16.0,2.0,7.133841392640736,6.747994289398194,1.3995796320446032,0.8964285163465443,23.16950550733495
