,0,1,2,3,train_loss,val_loss,train_loss_sd,val_loss_sd,ind_mini
0,64,256.0,16.0,32.0,2.525454408682557,6.149157588481903,1.1194135768645737,0.7200944283538375,19.165337516865407
1,256,128.0,64.0,,2.3708560067472235,6.150431944131851,0.9119810886161503,0.6435064738263904,19.120956840626988
2,16,16.0,8.0,,4.0933796644562985,7.637007632255554,1.5574772866126327,1.3767098386509897,30.109607777484012
3,128,,,,3.787705507753977,5.92172994852066,1.0924215431675728,0.5988969955653438,17.712781597251848
4,2,4.0,128.0,,5.663448057609503,4.219276694059372,1.294821245959429,0.41311201108132906,8.98647867736612
5,2,,,,9.388668203230928,5.93290533542633,8.11330746379025,3.175957041869389,22.643034425464986
6,128,2.0,16.0,128.0,2.9526413381865115,6.627746880054474,1.0511117951023792,0.8640424799859133,22.336799056646008
7,64,4.0,,,19.236495761949506,16.77948577404022,4.1241086441072285,1.293112993573396,141.61164202768325
8,8,16.0,,,5.069618154043138,6.896616506576538,1.4430096085552016,0.921540791448414,24.20627833454367
9,4,256.0,,,4.261196677503202,5.78795529127121,1.1439307205153415,0.49183149050349617,16.871162334402644
10,256,,,,3.3134545029199023,8.152031109333038,1.0288141732406344,2.1098531301343018,35.453545719135576
11,4,,,,5.72864722549264,4.111379214525223,2.594730753143018,0.7185073926642362,8.709845959471599
12,8,32.0,4.0,32.0,4.380644882257845,6.316566388607026,1.67463169041841,0.9732588207986899,20.42312183697123
13,256,16.0,2.0,16.0,3.09735938349016,6.194765434265137,1.6148721708958527,1.1233928060910265,19.8185650911716
14,32,,,,4.703932046635799,5.888796598911285,1.788609490614234,0.684436541238294,17.57318938116568
15,8,,,,5.506504277656964,5.945425872802734,2.6112296725030943,0.912999676304264,18.09082860896192
16,256,16.0,,,2.963253704320456,6.304109416007996,1.0883857162403978,0.980453679021308,20.351542472853545
17,4,8.0,128.0,,5.039440791247809,5.4818952059745785,1.2198602923853423,0.5765351397566063,15.191783908330619
18,4,64.0,2.0,,5.297497284219402,5.8717467403411865,2.1197751853025286,1.155172014612541,17.905916083025673
19,32,16.0,,,3.800716765241219,8.530563659667969,1.8395184452021862,1.9808294777627369,38.34710088581078
20,64,8.0,16.0,,3.4077185895906688,5.557855467796326,1.8256157781548146,0.627114452203005,15.641514968537697
