"date","GPP","Precip","Tair","PAR","VPD","fapar","ET","DOY","CO2","year","GPPp","ETp","SWp"
2004-01-01,0.0369352230804,0,-13.6635416666667,1.70146092219749,0.00890208333333334,0.13,0.00521639150462407,1,380,"2004",0.156109198710738,0.0521746530924,195.248550231272
2004-01-02,0.0311658929712,0,-15.779375,1.43509551223071,0.0122270833333333,0.13,0.00450076307430807,2,380,"2004",0.132764148388828,0.0424976457172625,192.08736839037
2004-01-03,0.0592096273848,0,-12.2639583333333,2.73848689470524,0.0112729166666667,0.13,0.0154562279530635,3,380,"2004",0.21821769016578,0.0816799170341627,189.953792315557
2004-01-04,0.0041518880118,0,-5.46395833333333,0.190178220152318,0.0129791666666667,0.13,0.00482061070977177,4,380,"2004",0.0151174619261432,0.00687813837277128,188.581276118123
2004-01-05,0.0143123508396,0,-5.96958333333333,0.656997368591674,0.0170541666666667,0.13,0.00273391752605325,5,380,"2004",0.0469914258706717,0.0227697318163785,187.655670924204
2004-01-06,0.0133578582894,0,-6.32145833333333,0.612921587462867,0.0104625,0.13,0.000649305811940511,6,380,"2004",0.0400686115630999,0.0198401881962228,187.040553824005
2004-01-07,0.0219228231168,0,-4.63041666666667,1.00778230435234,0.019525,0.13,0.0024843529464155,7,380,"2004",0.059778899103305,0.0340319911886421,186.621014555211
2004-01-08,0.0107031846672,0,-5.13416666666667,0.490893598387247,0.0190791666666667,0.13,0.00799123322904829,8,380,"2004",0.0271709512668655,0.0159374542332059,186.353384733985
2004-01-09,0.0102500768988,0,-6.53166666666667,0.483509000947935,0.00603958333333333,0.13,0.00131518112372876,9,380,"2004",0.0243108678900259,0.0141960019840083,186.176125821334
2004-01-10,0.0166524779916,0,-11.7135416666667,0.834227707135153,0.00226041666666667,0.13,0.00130879388653201,10,380,"2004",0.0358796413657437,0.0195209896873636,186.054403221098
2004-01-11,0.0104450442552,0,-11.1104166666667,0.556725794393307,0.00468541666666666,0.13,0.000541604256683068,11,380,"2004",0.0208085851140652,0.0127421360554622,185.977774056695
2004-01-12,0.0060289406676,0,-8.330625,0.34306919045412,0.00846666666666667,0.13,0.000543019770111336,12,380,"2004",0.0113554065130972,0.00842864212271596,185.929563609715
2004-01-13,0.0046566454824,0,-1.93604166666667,0.284720936247541,0.0186020833333333,0.13,0.0144206450379531,13,380,"2004",0.00894133163331103,0.00878727928876533,185.897184220284
2004-01-14,0.0052382829618,0,-4.03479166666667,0.346181980406117,0.024425,0.13,0.0162489262270469,14,380,"2004",0.010012092008459,0.00986705572164052,185.874878109708
2004-01-15,0.0116178535458,0,-7.039375,0.835883446471322,0.0103833333333333,0.13,0.00979915189343548,15,380,"2004",0.0210455296262574,0.020347948682564,185.85302010735
2004-01-16,0.0123040876176,0,-7.828125,0.970726858008887,0.0122791666666667,0.13,0.00182731429429716,16,380,"2004",0.0210683875135048,0.0223860514131623,185.830634055937
2004-01-17,0.0084623572566,0,-6.5125,0.736307282794146,0.0148166666666667,0.05,0.00354919632851579,17,380,"2004",0.00544994412057911,0.0173141474970469,185.81331990844
2004-01-18,0.0102993051834,0,-7.243125,1.00367607079864,0.0134166666666667,0.05,0.00526519117248598,18,380,"2004",0.00632970175547038,0.0226256795486548,185.790694228892
2004-01-19,0.0198353233278,0,-14.4817708333333,2.20447122104682,0.00588333333333333,0.05,0.00370693276631951,19,380,"2004",0.00912781680757388,0.0337916255981771,185.756902603293
2004-01-20,0.0273166605396,0,-17.5312291666667,3.51520084025924,0.00258541666666667,0.05,0.0166766649433772,20,380,"2004",0.00651566670428152,0.0438539372918364,185.713048666002
2004-01-21,0.0214611971472,0,-15.4514583333333,3.26501862656418,0.00515416666666667,0.05,0.0138478118890306,21,380,"2004",0.000563279227306721,0.0450669720280837,185.667981693974
2004-01-22,0.0107146431612,0,-13.6739583333333,1.97684680006771,0.00537916666666667,0.05,0.0259489786449038,22,380,"2004",0,0.0301798678351818,185.637801826138
2004-01-23,0.00901221363,0,-11.3379166666667,2.1222935663141,0.01135,0.05,0.013652627241357,23,380,"2004",0,0.0368490107281699,185.60095281541
2004-01-24,0.0054978502806,0,-2.22229166666667,1.84489099793243,0.0318333333333333,0.05,0.0538603926592583,24,380,"2004",0,0.0491685978250951,185.551784217585
2004-01-25,0.0035830926936,0,-7.763125,2.02212133647591,0.0133020833333333,0.05,0.0266823534129277,25,380,"2004",0,0.042114850836177,185.509669366749
2004-01-26,0.0008648568594,0,-9.330625,1.46698505184532,0.0073875,0.05,0.0814616474043839,26,380,"2004",0,0.0282733092728684,185.481396057476
2004-01-27,0,0,-6.57895833333333,1.52119395771148,0.0186020833333333,0.05,0.136633381931147,27,380,"2004",0,0.0335163776146741,185.447879679861
2004-01-28,0,0,-7.20875,1.64173178138455,0.0158145833333333,0.05,0.0254283190102533,28,380,"2004",0,0.0351140232933971,185.412765656568
2004-01-29,0,0,-6.40116666666667,2.18401952876646,0.0160958333333333,0.05,0.043011323756478,29,380,"2004",0,0.0485205064007924,185.364245150167
2004-01-30,0,0,-7.71520833333333,2.14355325939051,0.01015625,0.05,0.132230602657068,30,380,"2004",0,0.0447474290228062,185.319497721144
2004-01-31,0,0,-5.93333333333333,0.597854359503734,0.01760625,0.05,0.221874977157621,31,380,"2004",0,0.013571744852313,185.305925976292
