"","date","GPP","Precip","Tair","PAR","VPD","fapar","ET","DOY","CO2","GPPp","ETp","SWp"
"282","2004-10-08",1.3138221011616,4.05,5.94458333333333,3.71693612097802,0.106785416666667,0.76,0.40377344051575,282,380,1.37359128984798,0.446589167635677,190.358342058289
"283","2004-10-09",2.2029612605514,0.4,1.68708333333333,13.1926329975104,0.1496,0.76,0.735028960178535,283,380,3.10816160391338,1.07240776166114,189.033054705526
"284","2004-10-10",2.2187783710908,0,-0.437291666666667,15.0736191129713,0.1528875,0.76,1.00084947196049,284,380,2.81401730619317,0.990726325407216,187.972036470351
"285","2004-10-11",2.1240751505094,0,-0.681458333333333,14.0849109257716,0.19251875,0.76,0.317684859169399,285,380,2.26904870742729,0.829342383636267,187.264690980234
"286","2004-10-12",2.1066669524088,0,3.5025,12.1303768689981,0.1696125,0.76,0.150714235732606,286,380,2.07188334275353,0.759736738064831,186.668150375886
"287","2004-10-13",2.1095755722018,0,3.94729166666667,7.85217822784565,0.208675,0.76,0.380809322732876,287,380,1.56101785754209,0.570765422304309,186.014923302388
"288","2004-10-14",2.7139625510112,0,3.69645833333333,9.95291406800284,0.156185416666667,0.76,0.214206298415309,288,380,1.85738646127966,0.668327778867086,185.346595523521
"289","2004-10-15",2.959823478726,0,1.734375,10.1219981690124,0.107645833333333,0.65,0.199962774224155,289,380,1.50324939939616,0.580510343561363,184.766085179959
"290","2004-10-16",2.384070260292,0,3.94375,8.07788861415214,0.194535416666667,0.65,0.249222842882962,290,380,1.31800827711763,0.529454044381108,184.236631135578
"291","2004-10-17",1.1744184306942,0,4.148125,2.7522692689395,0.125485416666667,0.65,0.140188641431236,291,380,0.56206433060292,0.20897024702873,184.027660888549
"292","2004-10-18",0.624861837441,0,5.55208333333333,1.44208273222935,0.0973291666666667,0.65,0.212260391722594,292,380,0.333215632780368,0.11970938349314,183.907951505056
"293","2004-10-19",0.668668957191,0,2.838125,1.54096348538533,0.156254166666667,0.65,0.29904140961799,293,380,0.341051909273593,0.126171161907534,183.781780343149
"294","2004-10-20",1.6029831210768,0,0.83375,4.15805819492004,0.10929375,0.65,0.253551116368075,294,380,0.746230090834594,0.275284486041337,183.506495857107
"295","2004-10-21",0.7664774080266,0.02,1.5865625,1.69334117649292,0.1278875,0.65,0.157688409102064,295,380,0.316769355124236,0.117954539188368,183.408541317919
"296","2004-10-22",0.7965075048048,7.3,5.99770833333333,2.07686007892964,0.121185416666667,0.65,0.207065864118871,296,380,0.432497191714168,0.161558494501242,187.697160878613
"297","2004-10-23",0.7884350174016,3.22,5.91770833333333,2.72352563406362,0.0961625,0.65,0.0847535902015301,297,380,0.600223508774283,0.217777689490374,188.614160585742
"298","2004-10-24",0.7846143879654,2.23,4.415625,2.77316469936195,0.0829854166666667,0.65,0.159992662556347,298,380,0.617596110450733,0.219185264302018,188.7784813345
"299","2004-10-25",1.326229228746,0.4,2.73270833333333,5.40194892861001,0.0794833333333334,0.65,0.139447057049024,299,380,1.03862025438547,0.373812640893011,187.992720889667
"300","2004-10-26",0.4808292380748,11.75,6.89625,1.67285968090452,0.0970520833333333,0.65,0.12600478922456,300,380,0.411358949627267,0.147171491422502,194.792748656314
"301","2004-10-27",1.0329907145508,0.2,4.535,4.90996254226089,0.131497916666667,0.65,0.476459734989476,301,380,1.06234779273567,0.393093534653985,191.907032437543
"302","2004-10-28",1.5543813999006,0,2.665,8.12590505490103,0.153791666666667,0.65,0.362848943490417,302,380,1.48106206788223,0.566260166080295,189.888021625029
"303","2004-10-29",1.1313699064866,0,-0.700625,4.72948695461852,0.0506416666666667,0.65,0.0684487372871445,303,380,0.821376157185288,0.284332392639064,188.542014416686
"304","2004-10-30",1.0792881758232,0,-1.9375,4.67769542818317,0.0539333333333333,0.65,0.163606595188213,304,380,0.659930895138008,0.237448086492323,187.64467627779
"305","2004-10-31",0.804574911555,0,-1.73833333333333,3.44114624270977,0.0623416666666666,0.62,0.124044756421534,305,380,0.402743612387517,0.15694366542475,187.04645085186
"306","2004-11-01",1.2261967707042,0,2.63333333333333,6.73276597744883,0.2014875,0.62,0.174471524584138,306,380,0.76007112315988,0.339426454585203,186.64763390124
"307","2004-11-02",1.080492204105,0,1.46020833333333,6.17123853898063,0.146847916666667,0.62,0.0177557508260337,307,380,0.712655741654359,0.305816128374355,186.38175593416
"308","2004-11-03",1.0645445099736,0,3.81604166666667,6.23962057356439,0.137766666666667,0.62,0.0961947133254564,308,380,0.808608319719452,0.342132973351638,186.204503956107
"309","2004-11-04",0.22292067681,0.2,4.99895833333333,0.907610074514143,0.119652083333333,0.62,0.0303717487655405,309,380,0.165498960993082,0.0642054860554925,186.183295970738
"310","2004-11-05",0.3943176732342,2.63,5.82333333333333,1.52142576121854,0.126135416666667,0.62,0.12358156137666,310,380,0.304890480641434,0.116961623919522,187.347221313825
"311","2004-11-06",0.6294839128632,0,3.80520833333333,1.78412536429504,0.13240625,0.62,0.100705103655395,311,380,0.358950212375567,0.13627107263131,186.84814754255
"312","2004-11-07",0.4715425610838,0,2.44125,1.03003544103044,0.139327083333333,0.62,0.100719767217984,312,380,0.206160672545213,0.0779383916570825,186.515431695033
"313","2004-11-08",0.6668588178162,0,4.11604166666667,1.66544196867848,0.159514583333333,0.62,0.0890330036866582,313,380,0.334769891954374,0.129188241642545,186.293621130022
"314","2004-11-09",0.3815042447484,0,4.673125,0.819193593962743,0.137035416666667,0.62,0.0400192527308638,314,380,0.178318137486414,0.0671988517623514,186.145747420015
"315","2004-11-10",0.57903877944,0,0.957291666666667,1.65193113569534,0.103279166666667,0.62,0.0429004803060113,315,380,0.314136809806889,0.116039232610675,186.047164946677
"316","2004-11-11",0.202278199869,0,3.72270833333333,0.577389421308691,0.136616666666667,0.62,0.0759518923791206,316,380,0.117769073123613,0.044669064052269,185.981443297784
"317","2004-11-12",0.1269523087722,12.76,5.38416666666667,0.414597129776601,0.15094375,0.62,0.0535542790961815,317,380,0.0919237394428313,0.0349255586245351,192.746456880286
"318","2004-11-13",0.447377008014,0.2,0.828958333333333,3.18676838553685,0.10354375,0.62,0.0392800447378622,318,380,0.56644247121051,0.21197384083777,190.557687547774
"319","2004-11-14",0.431755189128,0,-0.980416666666667,3.87797332881377,0.0899958333333334,0.62,0.0547505728481856,319,380,0.567980129389209,0.21623805481037,188.988458365183
"320","2004-11-15",0.0749614028886,3.25,1.763125,0.807338500315776,0.114610416666667,0.62,0.0363058643148892,320,380,0.13193832627299,0.0510400880443527,189.823497646356
"321","2004-11-16",0.09661672422,0,-1.85395833333333,1.6939538000473,0.102952083333333,0.16,0.0952507882237409,321,380,0.0565174375526513,0.0636301560746543,189.989257145541
"322","2004-11-17",0.0697271844492,0,-4.816875,3.14825588857757,0.06446875,0.16,0.00740605715227409,322,380,0.0661656872206896,0.0956538169692367,188.609504763694
"323","2004-11-18",0.0649029206574,0,-5.64,1.49221851932853,0.0199145833333333,0.16,0.0142169980537446,323,380,0.0184483728847193,0.0398109890910065,187.689669842463
"324","2004-11-19",0.1704914511012,0,-7.25666666666667,0.87535627224558,0.0343166666666667,0.16,0.00531758636323438,324,380,0.00136487912456754,0.0194843652716744,187.076446561642
"325","2004-11-20",0.1945581368256,0,-5.931875,0.851149363150796,0.019,0.16,0.00257333954952396,325,380,0,0.0197788799654227,186.667631041095
"326","2004-11-21",0.2042147285946,0,-7.133125,1.00500066226758,0.0232729166666667,0.16,0.00510991988701046,326,380,0,0.0220816971526321,186.39508736073
"327","2004-11-22",0.194180719977,0,-8.21854166666667,1.4165181168789,0.0130125,0.16,3.07788846128838e-05,327,380,0,0.029535724619841,186.21339157382
"328","2004-11-23",0.095360830038,0,-7.66654166666667,0.486423102179591,0.0105354166666667,0.16,3.07948685174005e-05,328,380,0,0.0104182478829696,186.092261049213
"329","2004-11-24",0.0805595258016,0,-9.36041666666667,0.951851429576566,0.00576041666666667,0.16,0,329,380,0,0.0187496032350218,186.011507366142
"330","2004-11-25",0.0501258954564,0,-3.85604166666667,2.12835357228448,0.02766875,0.16,0,330,380,0,0.0542283174207601,185.957671577428
"331","2004-11-26",0.0105903293112,0,-6.05364583333333,0.910292372238736,0.04549375,0.16,0,331,380,0,0.0210353838347556,185.921781051619
"332","2004-11-27",0.0304500397734,0,-7.67,2.71382300155367,0.0410833333333333,0.16,0.000714006110326706,332,380,0,0.0581151781093141,185.897854034412
"333","2004-11-28",0.018839601819,0,-13.120625,1.70633873028184,0.00875208333333334,0.16,0.000710363468824113,333,380,0,0.0275089863519016,185.881902689608
"334","2004-11-29",0.0077794742538,0,-8.055625,0.703291840430946,0.0124020833333333,0.16,0.000713747170359192,334,380,0,0.0147815617426713,185.871268459739
"335","2004-11-30",0.0056052358272,0,-4.30958333333333,0.506424433360507,0.0145854166666667,0.16,0,335,380,0,0.0126526502307457,185.864178973159
"336","2004-12-01",0.0058425563718,2.971,0.542291666666667,0.528180848237762,0.0288354166666667,0.16,0,336,380,0,0.0160424088285228,187.700680382106
"337","2004-12-02",0.0092409727338,0,-0.894583333333333,0.836810660499577,0.0404,0.17,0,337,380,0,0.0237804741465134,187.083786921404
"338","2004-12-03",0.030921178455,0,-9.540625,2.82316802731424,0.0363875,0.17,0,338,380,0,0.0544486081631901,186.672524614269
"339","2004-12-04",0.0023225502546,0,-7.07125,0.209715944319106,0.019825,0.17,0,339,380,0,0.00456636914916481,186.398349742846
"340","2004-12-05",0.0047576748078,5.92,0.399166666666667,0.430260423896755,0.0231166666666667,0.17,0,340,380,0,0.0128442845842915,189.867022495231
"341","2004-12-06",0.0054860026302,3.87,-1.27708333333333,0.496291308623156,0.03641875,0.17,0.000995440177392279,341,380,0,0.0138938678204378,188.528014996821
"342","2004-12-07",0.0034180255206,0.2,-0.595,0.308861615768878,0.0452916666666666,0.17,0.000996083224007064,342,380,0,0.00887962361851909,187.635343331214
"343","2004-12-08",0.0046565157636,0,-0.354791666666667,0.420822709680594,0.0531395833333333,0.17,0.00404147823741097,343,380,0.00211702253009618,0.0127987912351026,187.040228887476
"344","2004-12-09",0.007002004626,0,-2.42895833333333,0.633684558738421,0.0432395833333333,0.17,0.00393825060116713,344,380,0.00312532429302263,0.0177892687184771,186.643485924984
"345","2004-12-10",0.0828465763446,0,-1.84416666666667,0.872375941440476,0.0280104166666667,0.17,0.00519697798306831,345,380,0.00526229367383135,0.0252535305921906,186.378990616656
"346","2004-12-11",0.1165559955462,0,0.58,0.329425898324091,0.0368333333333333,0.17,0.00396160122472751,346,380,0.00400113821179125,0.0109742313675883,186.666660411104
"347","2004-12-12",0.292817057814,0,-1.824375,0.962415046541321,0.0421895833333333,0.17,0.00813696078498118,347,380,0.0109813164712563,0.0293484335224802,186.394440274069
"348","2004-12-13",0.2332965160854,0,-6.5725,0.878833324851534,0.0206229166666667,0.17,0.00810057577320335,348,380,0.00129892355277889,0.0199199819504331,186.212960182713
"349","2004-12-14",0.0964874594358,0.2,0.308958333333333,0.391019401629561,0.0252270833333333,0.17,0,349,380,0.0031121457033494,0.0124394634986246,186.462500121809
"350","2004-12-15",0.0316490522616,12.12,2.07166666666667,0.148552933241041,0.04839375,0.17,0,350,380,0.00249317260637554,0.00539764456239669,195.893523111107
"351","2004-12-16",0.0806635386594,0.029,0.41375,0.337240987990807,0.05524375,0.17,0,351,380,0.0067005728176601,0.011941955040772,192.894569274071
"352","2004-12-17",0.0349135555824,2.2,2.42020833333333,0.101231903013344,0.0562708333333333,0.17,0,352,380,0.00271584656053935,0.00400835660597368,192.016765916312
