"","PAR","TAir","VPD","Precip","CO2","fAPAR","GPPobs","ETobs","DOY"
"1",0.400359352388597,-9.33824892126271,0.00856173196622089,0.698934972391753,380,0.8039802775,-0.000529444477864619,-0.0570372722665094,1
"2",0.162619249675332,-3.48445952174519,0.0162547559841765,1.59972810634853,380,0.8039802775,0.100873640796171,0.062593126528016,2
"3",0.225393919279567,-1.89554177878338,0.0109078671291549,7.00063089778488,380,0.8039802775,0.0124348384165912,0.0507215107172667,3
"4",0.478544902409243,0.382135589846278,0.0143974215154911,0.800023644932679,380,0.8039802775,0.0335123867635046,-0.00168609234681786,4
"5",0.930607713038619,-1.0699050508769,0.0297394621074567,2.30035177597261,380,0.8039802775,0.0719546142604571,-0.0122740799776959,5
"6",0.421575066228289,-0.0935960613465076,0.0373530617412161,0.0996568066338849,380,0.8039802775,0.0794457435364064,-0.0369728838258148,6
"7",1.14270956120941,0.706461402530691,0.0593879246546171,4.89938623618461,380,0.8039802775,0.116053200931227,-0.0663769916965498,7
"8",0.202378076387409,2.99062997535171,0.119631805011894,0.100805348082722,380,0.8039802775,0.0175040210290907,-0.0640169004557882,8
"9",0.864022831931504,2.47674499200512,0.139783949828111,0.00245794717717637,380,0.8039802775,0.124818618631358,-0.00722881438014619,9
"10",2.27633424101952,-1.59908982181982,0.0496306853189291,0.0015689871804504,380,0.8039802775,0.089690583243604,-0.0193319831730236,10
"11",0.214297065080149,0.460963576434692,0.0466925855887202,0.0997827354070655,380,0.8039802775,0.0323377522139607,0.029705381392153,11
"12",0.243929156022317,1.40126993232789,0.0356509933958274,0.30137854014841,380,0.8039802775,-0.00854714950107452,0.0493036101668143,12
"13",0.369259571820324,-0.202995824319055,0.0196439142009311,0.59964791270143,380,0.8039802775,0.0100599288875744,0.021765736559416,13
"14",0.871323444030409,-3.66817161112379,0.0367641560702676,3.49925175475127,380,0.8039802775,-0.00835301627471641,0.0632554145212765,14
"15",0.692592578591322,-2.36970506087317,0.0324664930676562,0,380,0.8039802775,0.0305656967421421,0.0851379282954508,15
"16",0.319344321847694,-0.0664381123227729,0.0297474896423233,0.299692707934124,380,0.8039802775,0.0131592889167228,-0.0495389485702729,16
"17",1.64607986455233,-0.615907382008908,0.144902330551504,1.79973223010545,380,0.8039802775,0.257764624549594,0.011017240375056,17
"18",1.35646739689421,-8.01142878193627,0.0765765284833748,0.00122918253249952,380,0.8039802775,0.0286208290392181,0.043377751793109,18
"19",1.00161450891969,-8.23872704927997,0.0262094132096519,0.101291523857475,380,0.8039802775,0.193907841936107,0.0309343865184774,19
"20",0.687396529247161,-9.74632287698343,0.012710756699897,1.69817194828615,380,0.8039802775,-0.0193343521654892,-0.0083041621379216,20
"21",1.43578883899212,-12.3993170299962,0.0199783128857998,6.29885646279349,380,0.8039802775,0.110596737958617,-0.0147438521774694,21
"22",3.82713499913019,-12.2100713336922,0.0187264259551303,0.199234411683563,380,0.8039802775,0.115424059074943,-0.0107177228462473,22
"23",1.55576240596523,-11.7148554811088,0.0131955912345553,0,380,0.8039802775,0.242998768651988,0.0200310531793943,23
"24",3.64725230170319,-14.3937021270394,0.0220913987767616,0.200846492276187,380,0.8039802775,0.139047637358406,0.0586743187928021,24
"25",0.989554305549624,-12.228357523923,0.0127999813874698,0.000123242463532603,380,0.8039802775,0.0805849686372012,0.0309034342210213,25
"26",2.1271197450469,-2.48053383614832,0.0307567351802103,2.70141257012467,380,0.8039802775,0.0932185850418758,-0.0430906533012319,26
"27",3.63949821502854,-3.225717564336,0.0645530420461891,0,380,0.8039802775,0.104636382944625,-0.0395716228553497,27
"28",1.88530489102996,-6.73626991549687,0.0462656272355166,0.101257413853222,380,0.8039802775,-0.0020336403308579,-0.0147876073925302,28
"29",0.61693672942855,-5.55275486624809,0.00821884594844881,2.29972884628015,380,0.8039802775,0.0652807458082605,0.112107484692034,29
"30",0.975393762420328,-3.44666871288866,0.0413167787175218,6.7987069384857,380,0.8039802775,0.217716168718135,0.0579071640956451,30
"31",4.92699179676003,-5.85720629228605,0.102663827727776,2.40103411253001,380,0.8039802775,0.234522218893947,0.0326160132664115,31
"32",4.9016345866913,-2.60537177765474,0.102329659627144,0,380,0.8039802775,0.245406162832447,0.0225626923218321,32
"33",2.27077891663477,-6.02720105100099,0.0115062166669768,0,380,0.8039802775,0.0408183502342274,0.0217383511293766,33
"34",5.04129838592323,-8.72896696257471,0.0177929780950233,0,380,0.8039802775,0.291173533189514,0.0120537485607401,34
"35",1.68866988845982,-4.04450182289476,0.0486807128672301,0.00109475791662535,380,0.8039802775,0.0913811898719416,-0.0218869488937659,35
"36",5.26113315715061,-2.74003690426236,0.144145015115784,1.70060515710744,380,0.8039802775,0.146341163797771,0.0596802350340149,36
"37",0.956864771226226,-0.657974300392445,0.0402397139769334,0,380,0.8039802775,0.0859694467284964,-0.0643328904974086,37
"38",2.8529500856807,0.303352901855388,0.0456044506194139,3.49892033628467,380,0.8039802775,0.203500704115708,-0.0112425269499377,38
"39",2.51427886444236,0.605374645026245,0.0433176275334537,3.69927146187091,380,0.8039802775,0.14165844967202,0.0294027011753769,39
"40",2.50288167931942,-1.41354568360404,0.0349194362245689,0,380,0.8039802775,0.160299672165274,0.0242152921690818,40
"41",6.03700322581721,-2.75428810165861,0.0538763647404448,0.200160528043538,380,0.8039802775,0.0577336872843108,0.0666200857668618,41
"42",4.42563333957802,1.01625549154077,0.0851010857952091,3.40185026119048,380,0.8039802775,0.176787770555466,-0.0143881407718061,42
