"","GPP","ET","SW","SOG","fS","fD","fW","fE","Throughfall","Interception","Snowmelt","Drainage","Canopywater","S"
"485",4.00405469158935,1.15825946115794,208.0756589594,0,0.476815219438292,0.961742110702486,1,1,5.67600031283312,2.13778187140845,0,11.1128294796999,2.86643296092687,5.38616568844653
"486",3.85532312648909,1.04393573941137,200.709503138019,0,0.487316127975948,0.971261653401557,1,1,0.063595747629349,0.0351976370402492,0,7.42975156900974,1.85769485855575,5.5722417877338
"487",2.24711568062666,0.511242264537568,195.756335425346,0,0.49205128560372,0.986679322162484,1,1,0,0,0,4.95316771267316,1.34645259401819,5.65614878089792
"488",4.41746198397273,1.28773169888717,194.728655446136,0,0.500789728717633,0.958239814933994,1,1,3.41164774385756,1.88820704958686,0,4.43932772306797,1.94692794471787,5.81099399287646
"489",4.88706934743236,1.59461405884106,191.769103630757,0,0.525763727822239,0.92785448095368,1,1,0,0,0,2.95955181537864,0.352313885876807,6.25353325701008
"490",3.9048654482293,1.11209316822441,189.289549565606,0,0.546471291536016,0.953524280182493,1,1,0,0,0,1.71977478280323,0,6.62047128601821
"491",3.70082403089957,0.953315041395818,189.988224812844,0,0.552471698323912,0.972619214000799,1,1,2.76778765365936,1.53185690662478,0,2.06911240642194,0.578541865228966,6.72679849429972
"492",5.29604888148074,1.64115213274252,187.900409696887,0,0.555581440732914,0.939523403006622,1,1,0,0,0,1.02520484844344,0,6.78190312978724
"493",5.42209152519013,1.75006820254666,186.050236967694,0,0.573909286333297,0.926472636978733,1,1,8.98459562990483e-06,4.97260505180158e-06,0,0.100118483846965,0,7.10667255382601
"494",5.64684763202164,1.86840499327567,184.184038935051,0,0.61148154829219,0.91525970032109,1,1,0.001420675198956,0.000786285433679853,0,0,0,7.77245303573761
"495",5.84952244515726,1.85758205019803,182.329065261631,0,0.632953935024577,0.925777239689331,1,1,0.00167907671036164,0.00092930006827643,0,0,0,8.15294372863551
"496",5.23045652620421,1.47306324370724,180.856002017924,0,0.629265535270204,0.952461144857315,1,0.97471137337364,0,0,0,0,0,8.08758528498802
"497",5.62209296083112,1.64376114339601,179.212240874528,0,0.624357493393994,0.944873872853474,1,0.963963884351286,0,0,0,0,0,8.00061478294158
"498",4.6985855061151,1.31634561810598,177.897126839782,0,0.616772456678359,0.950970025010159,1,1,0.000792800700248735,0.000438782659734509,0,0,0,7.86620793234052
"499",5.59008073486889,1.65129822678604,176.245936300166,0,0.626506433985688,0.946512964732824,1,1,6.93208973075178e-05,3.83662724897095e-05,0,0,0,8.0386940102264
"500",5.9510576753493,1.8141289853536,174.433376867493,0,0.632258375361311,0.93882907627536,1,1,0.00101035991955129,0.000559192761372142,0,0,0,8.14061841140243
"501",5.26826623291499,1.58317533094083,172.851610448159,0,0.64071279348433,0.93306481342557,1,1,0.00090695128276393,0.000501960323667635,0,0,0,8.29043070054232
"502",6.25273816128492,2.01576926524885,170.83681659074,0,0.655709826976326,0.919147697917009,1,1,0.000627894169092264,0.000347513660696383,0,0,0,8.5561781340205
"503",2.79523363156738,0.660958856587871,170.178103728938,0,0.658812006739794,0.978615499725789,1,1,0.00144580245015549,0.000800192336271728,0,0,0,8.61114875942915
"504",3.52896824768358,0.772174930505199,172.944692768338,0,0.661215747885828,0.988198092018217,1,1,2.76658903939958,1.53119352280999,0,0,0.759018592304795,8.65374305253687
"505",4.36425288881024,0.99894741078499,180.578373415211,0,0.661146401359949,0.985521529448125,1,1,7.633680646873,3.88317015481608,0,0,3.02574501129982,8.65251423209829
"506",3.91959026034618,0.776905382548925,184.981274977667,0,0.646103212450142,0.994016902716346,1,1,4.40290156245627,1.92454505068595,0,0,3.24778703953589,8.38594892461651
"507",4.09942852450828,0.883312130130487,189.151736489363,0,0.619276021678944,0.989500811179886,1,1,5.82132975637799,2.35078782150113,0,1.65086824468174,3.14138029195433,7.91057110415089
"508",5.78330220852117,1.65398724488382,188.738147853091,0,0.607802560773599,0.956590969285159,1,1,1.03048529027314,0.570331328342007,0,1.44407392654554,2.05772437541251,7.70726137690817
"509",5.28045623792682,1.51087715188566,187.904073385499,0,0.614051280661699,0.95382324698591,1,1,0.192962225157242,0.106796674569308,0,1.02703669274944,0.65364389809616,7.8179886933253
"510",5.1923536961409,1.26662219167004,188.464037124694,0,0.600141284357858,0.982499144457925,1,1,1.86698230154178,1.03329810340826,0,1.30701856234688,0.420319809834377,7.57150355882124
"511",4.42201273449217,1.08556017429343,188.92252246173,0,0.575720432140861,0.978467500939368,1,1,1.99474656790144,1.10401038279289,0,1.53626123086507,0.438770018333837,7.13876605753605
"512",5.03908063090554,1.40637404835204,188.120507907391,0,0.562837411813742,0.961099611031076,1,1,0.837385121650196,0.463458307724123,0,1.13525395369541,0,6.91047893733951
"513",3.29828632561199,0.838724734546203,186.804935271568,0,0.553161930165131,0.970845965633284,1,1,0.000398938446139609,0.000220796061876043,0,0.477467635784213,0,6.73902940252612
"514",3.84276105461768,0.961846726362336,186.379764913842,0,0.540343264000913,0.976518727700969,1,1,0.515983260930504,0.28557556462619,0,0.26488245692093,0,6.51188263809618
"515",3.88844238171493,0.996870648456819,186.005932525521,0,0.531111024056166,0.973938675636015,1,1,0.45125396679356,0.249750556102315,0,0.0779662627603083,0,6.34828734627526
"516",4.09675752244626,1.13325943648539,184.872673089035,0,0.528120387834213,0.960765667373243,1,1,0,0,0,0,0,6.29529327242225
"517",5.24349067799904,1.67217154647266,183.202392377524,0,0.541745597238673,0.936031079994816,1,1,0.00121717727797342,0.000673657683740724,0,0,0,6.53673198306928
"518",5.51783662393218,1.86503816273728,181.33804766426,0,0.567365134336578,0.914744737763754,1,1,0.000446390594066019,0.000247058878837145,0,0,0,6.99071018044417
"519",5.7588621355501,1.86187473565319,179.476172928607,0,0.588338006637064,0.92749009420653,1,0.967480895799639,0,0,0,0,0,7.36234947760877
"520",4.5961310160425,1.25692140996164,178.219411344416,0,0.605540739536514,0.962795209240682,1,1,0.000102883805903932,5.69419653438412e-05,0,0,0,7.66718190458703
"521",5.2326658333886,1.39203818601037,184.400387917904,0,0.619367988783061,0.971512540189574,1,1,6.18097657348799,3.42091693387866,0,0,2.02887874786828,7.91220076123583
"522",6.18106660134664,1.96085824064219,184.528776293835,0,0.638942371025238,0.930750167403094,1,1,0.128388375930261,0.071057698425341,0,0,0.139078205651436,8.25905881456721
