,site6
412,2.4917316
413,1.4744003
414,2.1921844
415,1.3062792
416,1.48064
417,1.8102847
418,1.9270257
419,3.201818
420,1.3543179
421,2.778459
422,3.173586
423,1.76911
424,2.05733
425,3.011048
426,2.0855813
427,2.851876
428,3.8068275
429,3.2369447
430,1.7462273
431,4.290202
432,2.1143656
433,3.7081947
434,3.0960999
435,3.1917136
436,1.9280231
437,2.2818232
438,3.0904794
439,4.219651
440,3.5489225
441,5.2404766
442,4.35433
443,4.3882422
444,2.1795452
445,2.8305678
446,2.8966887
447,1.6443403
448,2.8969526
449,2.608542
450,3.2218034
451,3.067699
452,2.1909108
453,4.2948785
454,3.258212
455,5.0833964
456,2.5943255
457,2.910181
458,3.88677
459,3.9610755
460,4.028769
461,4.2558265
462,2.013711
463,4.9757266
464,5.1228604
465,4.4603252
466,5.215383
467,5.51571
468,4.7924275
469,5.8945746
470,5.176992
471,3.3584306
472,6.0281816
473,6.804915
474,6.6482778
475,7.0174737
476,7.4878836
477,7.4817204
478,7.4710956
479,4.7482576
480,6.0389457
481,6.2048755
482,7.3061066
483,4.2550826
484,6.060263
485,3.3238854
486,6.859352
487,7.4370675
488,7.9435124
489,7.8487515
490,7.6360755
491,7.9197536
492,8.450416
493,8.876592
494,8.922305
495,9.006799
496,8.518018
497,8.584263
498,7.8646297
499,8.648045
500,8.420817
501,6.5475883
502,7.754437
503,5.8813024
504,8.798085
505,7.5360684
506,9.187467
507,7.050085
508,8.684997
509,9.119311
510,2.5424137
511,7.9088917
512,9.153471
513,8.654874
514,9.249499
515,9.173933
516,9.615715
517,9.259562
518,9.502761
519,9.591778
520,9.522605
521,9.479415
522,9.147
523,9.599704
524,9.112568
525,7.0836535
526,7.4309106
527,8.050103
528,6.7406282
529,7.672937
530,7.5773277
531,6.86729
532,8.139948
533,7.70324
534,5.9840684
535,8.073169
536,8.05408
537,5.349923
538,6.05854
539,8.604669
540,7.20573
541,6.471458
542,5.0599885
543,2.8037455
544,6.0650144
545,6.6297603
546,8.207378
547,8.70807
548,8.8103695
549,7.6534557
550,8.0949545
551,5.796984
552,6.8245664
553,5.094152
554,7.6852884
555,6.067044
556,6.5637007
557,6.7493463
558,7.5956407
559,6.005652
560,5.7391806
561,5.817349
562,6.0012116
563,4.955479
564,4.3333697
565,6.6918936
566,4.6333265
567,6.9591327
568,4.8913527
569,8.482053
570,8.545075
571,8.493787
572,8.921899
573,8.977074
574,8.801774
575,8.562459
576,8.735211
577,7.7717834
578,6.445829
579,6.2671103
580,3.831805
581,5.433625
582,3.8888905
583,6.568276
584,5.3702188
585,7.3882394
586,2.1814196
587,6.7597604
588,3.4504833
589,6.2469153
590,5.8322754
591,6.2172084
592,6.4516554
593,7.342487
594,4.652404
595,5.843024
596,4.8825765
597,5.872078
598,5.740798
599,1.7949444
600,4.8467097
601,3.8225427
602,3.5867746
603,2.1558456
604,5.374705
605,6.8633876
606,7.0515094
607,7.041042
608,5.2705555
