,f1,f2,f3,f4,f5,f6
0,1.7085377709923628,2.43454085679182,3.2119724017140525,2.8546187872524085,2.2038753852574615,2.9819252223117116
1,1.7051697810611655,2.4297239718852777,3.1943045186076766,2.8400997286427843,2.179628861316609,2.9461376678926903
2,1.7026815769934072,2.4249486678816203,3.176196207864636,2.826330100808634,2.160519983033167,2.9141085843661716
3,1.6998216574667657,2.4202568987006057,3.157865160869114,2.812769733706483,2.1450464961276214,2.885516894777124
4,1.696807255913724,2.41553710588024,3.1394697382387187,2.7995235079364913,2.132326673896068,2.8600911900081325
5,1.6941896341684344,2.4108996868923716,3.1212506772397415,2.786510889981756,2.121383547427723,2.8368961893102136
6,1.692676080471492,2.4061643729908395,3.1030366232058673,2.773767290937435,2.111978721147642,2.815891317621298
7,1.6895720967119545,2.401493935363571,3.084694225198272,2.7609697307555896,2.1037728280976253,2.7968384523514906
8,1.687444935657301,2.3969719112075203,3.0662930985794863,2.7482439156755323,2.096495160295407,2.7795384337963394
9,1.6855101409725368,2.3924297891192032,3.047832859540307,2.7359574715074393,2.0901093081412845,2.7640765748180036
10,1.683803082403736,2.387892802253661,3.0294267845004472,2.723876237241028,2.0843660914567637,2.749762729107405
11,1.6817229024177547,2.3833780185876567,3.011223363089258,2.7119579844238992,2.079049965808148,2.7366715193859243
12,1.6797689727409606,2.3789017967279555,2.9932044358232424,2.7002655265746722,2.0742312058442613,2.724866418101134
13,1.6784049002121206,2.374486119775063,2.9753159443069523,2.6889950062530414,2.069841044280491,2.7139755367023204
14,1.676332681770849,2.370050925895991,2.957285554073792,2.677856735322703,2.0657714438848527,2.704059567149965
15,1.6751675107874169,2.3656765232910786,2.939276972362774,2.666793010144919,2.0620885193263647,2.695055423337081
16,1.6731641679953249,2.361307638838201,2.921626654235791,2.655995257336775,2.058616374995577,2.6866450759639346
17,1.6715861112463974,2.3568521818198676,2.904127533112011,2.645445005101136,2.0553778401485023,2.679022817709445
18,1.6699010694921081,2.352417469798954,2.8866941786390554,2.63515909314043,2.0523411786984,2.6720803179088017
19,1.6682115269442082,2.347989826912567,2.8697767368168954,2.6251001754595666,2.049526802950955,2.66570058980961
20,1.6665766527362238,2.343639582485447,2.852984042671945,2.615227955861141,2.046868795964418,2.659910708981296
21,1.6698567175444343,2.339268435126192,2.836084107806277,2.605562830502242,2.0443463623016864,2.6545223456431826
22,1.6634284358921483,2.334838167607124,2.8191342767828367,2.595989501607847,2.0419832579470385,2.6495271380983283
23,1.6633334606477883,2.330394847504055,2.8025642372096553,2.5865768123743034,2.0397248456697312,2.644923725318652
24,1.6601298076125766,2.3259587934563166,2.7862353198467944,2.5772251410678453,2.03759960610249,2.640653509032569
25,1.6591857286722205,2.3215528405942165,2.7702447383546347,2.5681047172730525,2.035539665337695,2.6366613845524864
26,1.6568704761551438,2.3170939845268625,2.7546466763992257,2.559169704491555,2.033542066297559,2.6328731294462058
27,1.6550514154246603,2.3125681546000307,2.739445243321506,2.5502296180643254,2.0316261420120014,2.6293111864674144
28,1.6534390227424403,2.3079622638458233,2.7242551950033924,2.5413264750739946,2.029773327474435,2.6259234415753583
29,1.652000083595491,2.3033491027324566,2.7092751772579025,2.5324063876915672,2.0279610349122246,2.62273872191771
30,1.6505866596492584,2.2986184208932348,2.694580989371351,2.5235112635529147,2.0261685160294323,2.619689201468297
31,1.649397766648919,2.293793221528423,2.6799423628229637,2.5148426001137327,2.02444007508576,2.6166898018479623
32,1.648082190526655,2.288856546356179,2.6658243450966306,2.506354850398221,2.022763094311207,2.613820382129635
33,1.6468071182858866,2.2838573477571797,2.651918669534547,2.4979009928616387,2.021079974642222,2.611087012932169
34,1.6454977522818255,2.2788967776019433,2.6381241180305395,2.489372740249073,2.0194199717395778,2.608461115246591
35,1.6441793898812893,2.2738417911583055,2.624556089681484,2.4808076343953407,2.0177877229652195,2.6058285933457603
36,1.642820410309617,2.2687355138078766,2.611017021349989,2.4722166884657244,2.0161630630000724,2.6032391192568687
37,1.6415339800371582,2.2634866037974715,2.59780549963811,2.4636848467063115,2.0145282281308243,2.6006972781342386
38,1.6403380131750875,2.258069388882443,2.585008185484587,2.4554173980170306,2.0129063606777597,2.598119125726602
39,1.6392277307927587,2.252563177528707,2.572399826246232,2.447104617485248,2.011266374412,2.5955938321163807
40,1.6375531084311756,2.2470040424785687,2.5599147159706943,2.4387648920178897,2.009636922770893,2.5930621998469405
41,1.6398024673284373,2.2414050698837547,2.5473637795091872,2.4302561933540425,2.008008778822076,2.590475585545179
42,1.63747474210702,2.2356355077880847,2.535078956460493,2.4217314381275403,2.0063624328966236,2.5878472140350857
43,1.6355272431339625,2.2297375775791544,2.523238090924317,2.4131699360139858,2.004690437626054,2.5852003891267996
44,1.6323777567180842,2.2238503818955886,2.511628728290555,2.4048293354089814,2.002937982960109,2.5825149796140376
45,1.6351585474415724,2.2178121795616104,2.5001360865821955,2.3965037945180576,2.0011094846093425,2.5798356093346406
46,1.6353066281027195,2.211667517849402,2.488787728359492,2.3880791328119333,1.9991824473782907,2.577077875938797
47,1.6286805727340774,2.2054349717089643,2.4775484680440547,2.3796521974020637,1.9972467065705541,2.5742820547508805
48,1.6279079911155538,2.1990592683661183,2.4666246256438433,2.3712971519250976,1.9952077065801983,2.5714490245930164
49,1.6267279497544644,2.1926624163333877,2.4555376967866467,2.3627831422766814,1.9930654128107854,2.5684797176141303
50,1.6252292271865163,2.1861271538078615,2.4444578235015815,2.3539737093509165,1.990813684857206,2.565373745720644
51,1.6240482825416036,2.1795058091849295,2.433580117179964,2.3448137922878174,1.9884986665680577,2.562074941230544
52,1.6229941441392386,2.1726366334682066,2.4227811875933627,2.3360381107329165,1.986152466864905,2.5586388332679766
53,1.6218812683831376,2.1656407340219843,2.4121949734235444,2.3273384463114573,1.9837628204306428,2.5549644906068263
54,1.6208162059455533,2.1585302323979794,2.4015677754048586,2.3183798572977574,1.98121359694159,2.551086701574981
55,1.6198171322411659,2.151133443358846,2.39115605339359,2.3093973458236463,1.9785092832314168,2.547073286066754
56,1.6187613013160838,2.1435442298708374,2.380979549919118,2.3001879091192685,1.975732615214315,2.542901996479725
57,1.6177100368432367,2.135814288680555,2.3709015138070018,2.2908565906032465,1.972839825184746,2.5385043490163017
58,1.6164541992577286,2.1280427986939197,2.3608831862444317,2.281580739674747,1.9697204321055244,2.53390839130278
59,1.6152928551770684,2.12011055777458,2.3509386112752715,2.272110286585898,1.9664410370976655,2.5291691815999644
60,1.6142034310450204,2.1119309599236673,2.341080803171435,2.2626995532368275,1.962919178063887,2.524141190529455
61,1.6130153527517452,2.10361416153604,2.3312446192543264,2.253262943766072,1.9592969579479211,2.518885308183242
62,1.6123033983951278,2.0952843491573305,2.3215689173649867,2.2434150678304436,1.9554741275539815,2.513466409763305
63,1.610871169193972,2.0867443719480585,2.311895054403049,2.2331360026317464,1.9515550007605271,2.5079856409195838
64,1.6097086419786109,2.0780513500289834,2.302133709176273,2.222761809557069,1.9475519919792457,2.502194414942402
65,1.6085404330235422,2.069292031955899,2.29248643695636,2.212360844040174,1.9433495102335876,2.496305240993847
66,1.6073480368756203,2.0604282645420664,2.2827048808046047,2.20194252004939,1.9388636522474372,2.4902905616452027
67,1.6066589856150904,2.051294774348008,2.2730997715039503,2.1914808541799125,1.9342709678579184,2.483990847060739
68,1.60504955327288,2.042081524274717,2.263716048120048,2.1809347361094917,1.9295949704550066,2.477362127047387
69,1.603893861048382,2.032661863139459,2.2542153167769445,2.1704519147504486,1.9248036774002577,2.47059921775711
70,1.6027062360830322,2.023151269433747,2.244668494956797,2.1597979813973707,1.920034737083811,2.463820084178218
71,1.6018576859416842,2.0134676483215976,2.2351891042417344,2.1491256940521826,1.9150809151004962,2.4565177138027483
72,1.6008535184729682,2.0035027836445365,2.2257918575459192,2.138515972945874,1.9101443009251544,2.4489009353800304
73,1.5996152668548467,1.993494726015665,2.2162503954837582,2.1279495108243016,1.905094733633173,2.440921085153897
74,1.5981383311313853,1.9834122249284492,2.206753026066781,2.1173535703936683,1.8999451695407639,2.4325442265155637
75,1.5969968743624599,1.9731737351735026,2.1972730982588007,2.1064932445408586,1.894397235965751,2.4239099123149237
76,1.5958355591469302,1.9626111007466858,2.1878420177963442,2.095318259043797,1.8887009660535246,2.4152074387698175
77,1.5970521599346268,1.9518257708042461,2.1785362603915144,2.084173512190498,1.882672650483613,2.406161672516541
78,1.5952042001986073,1.9410018177587722,2.169125477229101,2.0728784528893605,1.8764412226906426,2.3970099847853796
79,1.5923464895275061,1.9298493620437736,2.15968108527683,2.061257277285663,1.8699850161907468,2.387778198373655
80,1.5925659370961953,1.918465646398254,2.1502388750488985,2.049534546293605,1.8631176354261172,2.378141962829582
81,1.5899482476698898,1.9071807917277928,2.1408559046825517,2.0376461331522435,1.8561701191953783,2.36835239937252
82,1.5891566721004993,1.8960892991986722,2.131396643565639,2.025699549651592,1.8493291853269387,2.358411370088701
83,1.5874454696757208,1.8846870154713746,2.1219064791788265,2.0136755383378544,1.8424194424818239,2.3483644499447167
84,1.5861589790622825,1.8732954445149677,2.112489795500265,2.0016305792148708,1.8352917284986507,2.3380232131448326
85,1.5848745625580356,1.8620326247299426,2.103035130751735,1.9894442873285918,1.8276149403375712,2.327378285344285
