,site6
0,0.2936499
1,0.2936499
2,0.2936499
3,0.2936499
4,0.2936499
5,0.2936499
6,0.2936499
7,0.2936499
8,0.2936499
9,0.2936499
10,0.2936499
11,0.2936499
12,0.2936499
13,0.2936499
14,0.2936499
15,0.2936499
16,0.2936499
17,0.2936499
18,0.2936499
19,0.2936499
20,0.2936499
21,0.2936499
22,0.2936499
23,0.2936499
24,0.2936499
25,0.2936499
26,0.2936499
27,0.2936499
28,0.2936499
29,0.2936499
30,0.2936499
31,0.2936499
32,0.2936499
33,0.2936499
34,0.2936499
35,0.2936499
36,0.2936499
37,0.2936499
38,0.2936499
39,0.2936499
40,0.2936499
41,0.2936499
42,0.2936499
43,0.2936499
44,0.2936499
45,0.2936499
46,0.2936499
47,0.2936499
48,0.2936499
49,0.2936499
50,0.2936499
51,0.2936499
52,0.3371284
53,0.2936499
54,0.34254503
55,0.3925085
56,0.30395412
57,0.2936499
58,0.3193226
59,0.2936499
60,0.2936499
61,0.2936499
62,0.2936499
63,0.2936499
64,0.2936499
65,0.2936499
66,0.2936499
67,0.2936499
68,0.2936499
69,0.2936499
70,0.2936499
71,0.2936499
72,0.2936499
73,0.2936499
74,0.2936499
75,0.29654312
76,0.2936499
77,0.31190014
78,0.32386398
79,0.32242274
80,0.33303165
81,0.2951665
82,0.30916834
83,0.33004308
84,0.2936499
85,0.3174553
86,0.37781644
87,0.3907616
88,0.2936499
89,0.4802661
90,0.48448944
91,0.6798277
92,0.7080126
93,0.7877072
94,0.45022774
95,0.37140703
96,0.2936499
97,0.29679298
98,0.3155589
99,0.41939163
100,0.46891522
101,0.5048399
102,0.3334427
103,0.36187148
104,0.4250598
105,0.5613699
106,0.6495793
107,0.6371703
108,0.6393771
109,0.57353234
110,0.5855844
111,1.954664
112,3.1990423
113,3.2541673
114,3.449058
115,3.6123776
116,3.4369607
117,1.9418995
118,3.6677034
119,6.022092
120,5.932231
121,6.077715
122,6.310897
123,6.3360004
124,5.6450434
125,6.1359444
126,3.9439754
127,6.298761
128,6.5398254
129,7.167648
130,7.184014
131,7.1892347
132,6.5671597
133,6.2388725
134,5.216707
135,4.3352337
136,4.502377
137,3.0527968
138,3.5857906
139,4.1981287
140,3.7882564
141,4.3900375
142,6.054639
143,6.723413
144,7.2012997
145,7.1050496
146,7.0411725
147,7.5691166
148,7.7910666
149,7.9442716
150,8.071375
151,7.436615
152,7.144929
153,7.731038
154,7.9475164
155,7.7587595
156,7.445845
157,7.860187
158,7.4953203
159,4.704879
160,2.6497283
161,2.9236076
162,6.2550554
163,6.544276
164,6.7607965
165,5.882846
166,6.6762404
167,5.9034395
168,2.779521
169,6.590926
170,6.068551
171,5.8767977
172,6.631264
173,4.654804
174,5.158494
175,7.7120247
176,9.132912
177,9.206228
178,8.837072
179,7.256815
180,8.4203205
181,8.432007
182,8.237568
183,8.006985
184,8.922603
185,8.389034
186,8.778455
187,7.871959
188,8.451139
189,7.5519395
190,8.07151
191,6.6079855
192,6.368083
193,6.436594
194,6.7611923
195,6.680514
196,6.3806944
197,6.309868
198,6.5467596
199,6.6647854
200,6.067854
201,2.9855325
202,3.1093519
203,7.158134
204,7.5533466
205,7.2980804
206,7.323982
207,9.114586
208,9.142448
209,9.367345
210,9.348603
211,9.130142
212,8.004694
213,9.08156
214,8.071415
215,7.964162
216,8.858301
217,7.539071
218,8.343973
219,3.336329
220,8.058893
221,8.874768
222,7.3538084
223,5.831854
224,3.2823806
225,5.320105
226,5.6251087
227,1.6863763
228,1.6170808
229,3.2271667
230,4.2810125
231,3.3029156
232,3.40424
233,3.1428137
234,5.578476
235,5.694633
236,5.612943
237,3.0877895
238,3.2577178
239,3.042538
240,6.3764877
241,6.864706
242,7.3545647
243,6.566633
244,5.6798506
245,3.3444247
246,6.3679485
247,5.6290913
248,6.430647
249,6.91919
250,7.33721
251,6.309929
252,6.7968655
253,5.7578287
254,4.9599805
255,0.84181535
256,0.3550837
257,0.3346238
258,0.2936499
259,0.31091142
260,0.3257916
261,0.35247922
262,0.3289175
263,0.51249933
264,0.36946535
265,0.5501332
266,0.57091904
267,0.5758779
268,0.4511938
269,0.4073348
270,0.45939827
271,3.278079
272,4.077044
273,1.2981272
274,0.9668577
275,1.5934056
276,1.757726
277,1.8832598
278,1.5660719
279,3.416473
280,3.442755
281,1.8207386
282,3.0163617
283,1.0052705
284,3.2019188
285,2.9961066
286,2.457943
287,1.7066443
288,0.6377518
289,0.9149542
290,1.1930733
291,0.7524631
292,1.3260276
293,0.5093179
294,1.0508591
295,1.3223628
296,0.5071883
297,1.2269778
298,0.57606125
299,0.9990779
300,1.1731919
301,0.94727993
302,0.6191702
303,0.3644445
304,0.4737234
305,0.7438426
306,0.62435913
307,0.6621609
308,0.80460405
309,0.73552704
310,0.6088748
311,0.33022523
312,0.2936499
313,0.41761756
314,0.39109015
315,0.3618331
316,0.46225405
317,0.4088943
318,0.3231721
319,0.40531516
320,0.46299243
321,0.3310325
322,0.3920014
323,0.35172224
324,0.2936499
325,0.2936499
326,0.2936499
327,0.2936499
328,0.2936499
329,0.2936499
330,0.2936499
331,0.2936499
332,0.2936499
333,0.2936499
334,0.2936499
335,0.2936499
336,0.2936499
337,0.2936499
338,0.2936499
339,0.2936499
340,0.2936499
341,0.2936499
342,0.2936499
343,0.2936499
344,0.2936499
345,0.2936499
346,0.2936499
347,0.2936499
348,0.2936499
349,0.2936499
350,0.2936499
351,0.2936499
352,0.2936499
353,0.2936499
354,0.2936499
355,0.2936499
356,0.2936499
357,0.2936499
358,0.2936499
359,0.2936499
360,0.2936499
361,0.2936499
362,0.2936499
363,0.2936499
364,0.2936499
365,0.2936499
366,0.2936499
367,0.2936499
368,0.29430842
369,0.2936499
370,0.2936499
371,0.35894918
372,0.29770446
373,0.2936499
374,0.2936499
375,0.38638115
376,0.41291738
377,0.3717389
378,0.30134463
379,0.40397978
380,0.43355846
381,0.35060072
382,0.7458966
383,0.50463796
384,0.5741868
385,0.6227932
386,0.3625517
387,0.40549397
388,0.369519
389,0.2936499
390,0.79949534
391,0.5435009
392,0.43240213
393,0.46375895
394,0.4012518
395,0.4069991
396,0.677644
397,0.77938366
398,0.73649347
399,0.5853889
400,0.7223685
401,1.1818284
402,0.647624
403,1.1380557
404,1.3193218
405,0.60511637
406,0.49610138
407,0.39835262
408,1.0661275
409,0.93958116
410,0.48396707
411,0.4639721
412,0.8781557
413,0.53801894
414,0.787223
415,0.4290707
416,0.4550991
417,0.6610224
418,0.789039
419,1.4187617
420,0.57651234
421,1.1727741
422,1.448244
423,0.7760222
424,0.80210876
425,1.2695149
426,0.873026
