,0,1,2,train_loss,val_loss
0,0.049,4,0.1055,4.085855021434579,3.916968601288922
1,0.0653,2,0.0603,6.704358755549418,6.262461314570678
2,0.0673,4,0.3668,14.09766406444046,10.366103604034844
3,0.002,32,0.9899,6.713716228777093,5.093506534844637
4,0.0939,16,0.1457,11.56637985523369,8.31475286649621
5,0.098,64,0.4372,7.354912557848568,4.5769198131561275
6,0.0694,2,0.4523,15.009819824093542,11.187206758484244
7,0.0429,8,0.4472,5.201330273485942,4.185300687246997
8,0.0102,4,0.2312,4.281221207264687,3.7467789849306907
9,0.0673,16,0.603,6.059394662561624,4.7349652628535805
10,0.0143,8,0.1558,3.901638054145977,3.7357612850193096
11,0.0816,32,0.9698,8.009162802246061,5.921432267526786
12,0.0673,64,0.5528,6.170546940071829,4.59774802406629
13,0.0653,4,0.9598,12.59554748711113,11.627018901297578
14,0.0429,64,0.5427,5.561511566762266,4.337962052623431
15,0.0837,16,0.5075,8.046767901773565,6.33624260985333
16,0.049,4,0.8794,17.821167980435323,14.21649609177009
17,0.0694,4,0.6583,9.6224067983114,7.668716062605381
18,0.0367,4,0.2864,4.7895620652328645,4.259049316944311
19,0.0082,64,0.0704,3.45447851976444,3.30596072435379
20,0.0082,64,0.8442,6.284234101032389,4.751865454912186
21,0.0061,8,0.9246,6.506932177976293,4.945972591748704
22,0.0796,8,0.4623,14.222400511298815,10.660695619077787
23,0.0959,2,0.6332,11.339676458709715,10.780237889789614
24,0.0184,16,0.608,5.664399222005109,4.442070499865905
25,0.0327,32,0.0,3.1020884476360377,3.571879503056407
26,0.0245,32,0.196,4.380742380130908,3.7247116424143316
27,0.0918,16,0.2663,11.82824405297058,8.461723643489506
28,0.0776,8,0.1256,11.584318010787515,8.21116699654123
29,0.0347,32,0.0352,3.2964916935205535,3.1768331941713894
30,0.0939,4,0.6382,16.565989158669574,12.702373574907364
31,0.0816,4,0.0754,11.521142667753487,8.14316428320037
32,0.0653,8,0.5276,9.387260906743833,8.735295033649258
33,0.0367,2,0.392,5.73264581760183,4.313103902329769
34,0.0102,64,0.9648,6.643744983220922,5.0731975058714545
35,0.0163,8,0.8593,6.328853899163242,4.911736164996805
36,0.098,8,0.8894,18.504132283165823,14.637836746353168
37,0.0163,4,0.4774,5.41192098955418,4.160753274667279
38,0.0551,64,0.995,6.922499003287019,5.1386320793628695
39,0.0592,32,0.9799,7.313322700473063,5.578165845175585
40,0.0694,2,0.7739,17.74684877108338,13.916818776186656
41,0.0327,4,0.2362,4.7777905791088395,4.045689968110022
42,0.0776,64,0.7638,7.425845164677193,5.195511227846145
43,0.0776,16,0.809,9.44692384821709,7.069500479361285
44,0.0265,8,0.4322,5.202139639545183,4.388056281335327
45,0.0612,8,0.1106,11.645771632470419,8.294412787116093
46,0.0612,2,0.6784,16.875091300483327,13.03276412280551
47,0.0367,16,0.9246,6.751332595071026,5.261117264395175
48,0.0163,8,0.9397,6.940894222953582,6.5882733946520355
49,0.0551,16,0.9799,7.009706130389175,5.3259774310692505
50,0.0041,2,0.1508,3.8049111886323352,3.410718265658405
51,0.0571,8,0.9749,17.64288361790893,14.033990234473476
