,site0
371,-6.0494275
372,-5.43002
373,-5.9575925
374,-5.4131436
375,-5.9771543
376,-5.42989
377,-5.8512845
378,-5.430203
379,-5.9414563
380,-5.4293637
381,-6.0809903
382,-5.4306684
383,-6.0848584
384,-5.428456
385,-6.0826993
386,-5.429196
387,-6.0756955
388,-5.427113
389,-6.0715528
390,-5.4303174
391,-6.079991
392,-5.4272428
393,-6.080067
394,-5.4239545
395,-6.0783734
396,-5.3552594
397,-6.080174
398,-5.1950803
399,-5.998776
400,-5.389752
401,-6.0853696
402,-5.26611
403,-6.080197
404,-5.1405683
405,-6.0797544
406,-5.270291
407,-6.0799146
408,-5.211148
409,-6.0801816
410,-5.4289823
411,-6.080113
412,-5.221646
413,-5.9012647
414,-4.7126737
415,-5.7490125
416,-5.229237
417,-5.4585843
418,-4.57391
419,-5.302357
420,-4.564076
421,-5.6422925
422,-4.8745313
423,-5.306889
424,-5.2378736
425,-5.9253964
426,-4.9763455
427,-6.081425
428,-4.7191205
429,-6.079579
430,-4.413098
431,-5.0148816
432,-4.536076
433,-5.207707
434,-4.7276425
435,-5.6497006
436,-4.6012845
437,-5.330746
438,-4.494015
439,-5.428059
440,-5.073567
441,-5.7830396
442,-5.0000577
443,-6.0796094
444,-5.2693143
445,-5.7987714
446,-5.1075406
447,-6.0801663
448,-5.353581
449,-6.047795
450,-5.126904
451,-5.656361
452,-5.191708
453,-5.632611
454,-4.979771
455,-5.63699
456,-5.2213483
457,-5.790051
458,-5.142361
459,-5.7921643
460,-4.169125
461,-5.39494
462,-3.433476
463,-4.212834
464,-3.7302747
465,-4.5615582
466,-4.4235044
467,-4.3437085
468,-3.802174
469,-4.45641
470,-4.7102094
471,-4.5350537
472,-3.7738996
473,-5.635388
474,-4.475796
475,-4.5556073
476,-4.185536
477,-5.5115857
478,-3.0066495
479,-4.4616666
480,-3.1865277
481,-4.127629
482,-3.532948
483,-4.3718686
484,-4.377606
485,-5.296971
486,-3.9426465
487,-4.8145413
488,-4.6071286
489,-4.98943
490,-3.9899259
491,-3.4393506
492,-3.4369245
493,-3.6109204
494,-2.6416287
495,-3.8238645
496,-2.1490445
497,-2.6934934
498,-1.7413679
499,-4.3287396
500,-3.564999
501,-3.4149823
502,-3.5051389
503,-5.4549375
504,-3.7495694
505,-5.283299
506,-4.3283353
507,-4.41557
508,-3.08318
509,-2.9500089
510,-2.5935483
511,-2.8289227
512,-2.097241
513,-3.1374555
514,-2.4297986
515,-4.256123
516,-2.4267163
517,-3.090588
518,-2.8104901
519,-4.973759
520,-2.1613202
521,-3.577084
522,-4.0412793
523,-4.981259
524,-4.7091565
525,-5.398175
526,-4.786587
527,-5.0888715
528,-4.831837
529,-5.4105344
530,-4.813977
531,-5.324368
532,-5.0689054
533,-5.022412
534,-4.603352
535,-5.0201764
536,-4.4249616
537,-5.063618
538,-4.583279
539,-5.096165
540,-1.0588804
541,-3.025372
542,-2.1814847
543,-2.3861737
544,-2.0436673
545,-3.919003
546,-0.96989113
547,-1.9554106
548,-2.0666776
549,-5.5759473
550,-4.3357663
551,-1.8124357
552,-4.5366483
553,-2.7348676
554,-2.607037
555,-3.257069
556,-1.9062468
557,-2.8470502
558,-2.583241
559,-5.6267056
560,-4.4561124
561,-4.32124
562,-4.178036
563,-3.7890058
564,-2.649403
565,-3.0761228
566,-4.1091046
567,-4.247494
568,-5.1838803
569,-5.715649
570,-4.52406
571,-4.3259397
572,-1.2979323
