,site0
0,-5.4920316
1,-5.963742
2,-5.4307446
3,-6.1476407
4,-5.430699
5,-6.147763
6,-5.4308515
7,-6.147801
8,-5.427052
9,-6.1477933
10,-5.422993
11,-6.141789
12,-5.4237027
13,-6.1456037
14,-5.4285398
15,-6.1475186
16,-5.429692
17,-6.150143
18,-5.426869
19,-6.147633
20,-5.430714
21,-6.1474957
22,-5.430798
23,-6.1366696
24,-5.4306455
25,-6.147404
26,-5.43047
27,-6.143391
28,-5.4305234
29,-6.1473966
30,-5.428555
31,-6.148724
32,-5.430264
33,-6.1473584
34,-5.429852
35,-6.1462827
36,-5.429089
37,-6.1455426
38,-5.429272
39,-6.146054
40,-5.428578
41,-6.1470456
42,-5.4272885
43,-6.1465344
44,-5.4295697
45,-6.1468244
46,-5.4262815
47,-6.146626
48,-5.4295697
49,-6.1470532
50,-5.418637
51,-6.098355
52,-5.4063306
53,-6.147183
54,-5.3248334
55,-6.10883
56,-5.399319
57,-6.147076
58,-5.4293256
59,-6.1409497
60,-5.429997
61,-6.146878
62,-5.4300046
63,-6.14658
64,-5.4297605
65,-6.1455197
66,-5.4297757
67,-6.145413
68,-5.426953
69,-6.1405225
70,-5.4287534
71,-6.1449323
72,-5.428128
73,-6.1468396
74,-5.429219
75,-6.142979
76,-5.429356
77,-6.144917
78,-5.4278073
79,-6.1443295
80,-5.427502
81,-6.14539
82,-5.4281507
83,-6.144177
84,-5.4297833
85,-6.1445355
86,-5.304669
87,-5.9895215
88,-5.3942075
89,-6.0060697
90,-5.342076
91,-5.979077
92,-5.2918057
93,-5.963391
94,-5.3996854
95,-6.123547
96,-5.418881
97,-6.136868
98,-5.416989
99,-6.1164517
100,-5.3845563
101,-6.088841
102,-5.4264646
103,-6.1241803
104,-5.377171
105,-6.0616803
106,-5.3292127
107,-6.056103
108,-5.3394666
109,-6.0774655
110,-5.3563504
111,-4.9444623
112,-4.2485547
113,-5.055096
114,-4.20171
115,-4.937138
116,-4.66116
117,-5.8009076
118,-4.5760236
119,-4.97675
120,-4.565655
121,-5.152386
122,-4.2424054
123,-4.952107
124,-4.7553678
