,0,1,train_loss,val_loss
0,0.0898,64,2.153996283695102,1.4295113330086073
1,0.0429,32,2.090975364053249,1.6008930488228799
2,0.0694,64,2.164765073513985,1.4938169835011166
3,0.0469,2,5.029075571285899,4.6659812741606626
4,0.0776,32,2.1289964155677708,1.6208201933801174
5,0.0122,16,2.0991244347501548,1.8061635035146837
6,0.0939,32,2.221122205135226,1.7571366844574612
7,0.0224,64,2.183550379693508,1.8995912684996925
8,0.0918,4,3.551143809419915,2.8923070450347166
9,0.0286,8,2.0992987019188294,1.6044003716733146
10,0.0286,64,2.080820658701658,2.6922164396643637
11,0.0,8,5.871829837079748,5.8922484288060755
12,0.0184,8,2.0666162485549107,2.221095975391243
13,0.0531,32,2.194717598979175,1.9103613298336664
14,0.002,4,2.1170052134590844,1.4221242132265315
15,0.0449,4,2.2134927328781964,1.7541714487304092
16,0.0408,32,2.107588447538763,1.6187243486692509
17,0.0592,16,2.1988500522226095,2.0166831322053205
18,0.0571,64,2.4874534138172866,2.42561844543616
19,0.0796,16,2.211811312747374,1.5704526272545691
20,0.0592,8,2.2264131377054843,1.7458294647883463
21,0.0367,16,2.256603758389875,1.5533807573473972
22,0.0143,32,2.2107698529794813,1.7911923941473167
23,0.0306,64,2.112285689887404,1.6603746925393739
24,0.0612,32,2.4865330501556393,3.1376795541346074
25,0.0122,2,2.130507243198412,1.798717976925082
26,0.0429,64,2.1379651438176634,1.4143721088767052
27,0.0714,32,2.1454863557092843,1.4976117722839117
28,0.0633,2,3.582504538702885,2.795613988191234
29,0.0551,8,2.245645076656167,1.7841738844760084
30,0.0837,2,5.402744093031853,5.055480079923309
31,0.0551,32,2.2105280789010227,1.9181790069937705
32,0.0327,32,2.3272639900535346,2.774522651140888
33,0.0633,8,2.6036374419860895,2.98665490040426
34,0.0102,32,2.0733430351339277,1.678703932935993
35,0.049,2,2.396230842988658,2.0313155207394455
36,0.098,2,3.7942391370294426,3.2761213002846414
37,0.0388,8,2.226140546680428,1.8006623937675486
38,0.0796,8,2.3060639677146337,1.9953567090922077
39,0.0449,32,2.1712079450309276,2.0239013110399244
40,0.0163,16,2.066295230496675,1.5722754310835962
41,0.0939,64,2.1013790367156266,1.610171536823114
42,0.0571,8,2.1973552341019738,1.760822643822059
43,0.0959,4,5.410152261147174,5.070018333374978
44,0.0755,4,3.6670651052168926,2.336661505320944
45,0.0612,64,2.1362578530043366,1.4128210644721986
46,0.0122,64,2.5259099894970656,2.94612843354543
47,0.0878,16,2.47833123836033,2.2940007317429005
48,0.0612,4,2.2426142997611174,1.8107147212304286
49,0.0694,32,5.400256328471005,5.049431431427598
50,0.0367,2,2.285087041791022,1.7294608501129602
51,0.0163,2,2.1236366975920644,1.6159435804297506
52,0.0061,4,2.0904790988729136,1.5420128609903818
