,train_p1,train_p2,train_p3,train_p4,train_p5,train_p6
3852,13.055466,0.0,0.0,0.0,30.877626,0.0
3853,0.0011611688,-996.7544,-999.0,-999.0,0.7801766,-997.37195
3854,5.7061014,-6.3322024,200.48663,43.675934,62.87219,16.464846
3855,13.5453615,2.9430375,0.0,0.0,31.944698,0.0
3856,0.0005839544,-997.87067,-999.0,-999.0,0.39235255,-998.1813
3857,5.7061014,-6.3322024,200.46147,43.675934,62.87061,16.464846
3858,15.3823595,0.0,0.0,0.0,36.17213,0.0
3859,2.507949e-05,-998.9515,-999.0,-999.0,0.016850634,-998.96484
3860,5.7061014,-6.3322024,200.42952,43.675934,62.873554,16.464846
3861,23.321743,4.350694,0.0,0.0,54.684467,0.0
3862,-0.00236212,-1003.5682,-999.0,-999.0,-1.5870824,-1002.3118
3863,5.7061014,-6.3322024,200.37982,43.675934,62.870914,16.464846
3864,32.936565,0.0,0.0,0.0,77.00902,0.0
3865,-0.005328265,-1009.3045,-999.0,-999.0,-3.5800025,-1006.4706
3866,5.7061014,-6.3322024,200.30861,43.675934,62.87978,16.464846
3867,32.57666,5.286319,0.0,0.0,75.95189,0.0
3868,-0.005029881,-1008.7275,-999.0,-999.0,-3.3795218,-1006.0522
