,0,1,2,train_loss,val_loss
0,0.02456530612244898,64,0.1932,0.04351566319048506,0.0460192908912838
1,0.06534081632653062,32,0.2743,0.18926504841316014,0.1913022084473743
2,0.06330204081632654,64,0.8088,0.06607430203911549,0.07568390099516524
3,0.018448979591836733,16,0.4645,0.06839343460667001,0.07342200698010916
4,0.06534081632653062,32,0.3153,0.06390132176366187,0.06736521674179664
5,0.06126326530612246,2,0.6977,0.8857871405316515,0.8865181761686028
6,0.0225265306122449,16,0.3614,0.06291337787143826,0.06612834161469486
7,0.07145714285714286,4,0.3273,0.6406610823911091,0.6329925922133669
8,0.1,32,0.4845,0.2155585394031384,0.2296052843495457
9,0.08368979591836735,64,0.041,0.156608133775266,0.14410270575714842
10,0.02456530612244898,8,0.957,0.18645501072748014,0.20557209102726853
11,0.09388367346938777,32,0.6406,0.3569536874074941,0.32920376079108954
12,0.06941836734693878,16,0.4915,0.3013201901143132,0.3016913157767292
13,0.006216326530612245,16,0.5786,0.06870162232412685,0.07397548151793013
14,0.02660408163265306,8,0.0941,0.03307109584008559,0.03440775770215461
15,0.051069387755102044,8,0.7818,0.345032866264628,0.3638863636354489
16,0.020487755102040817,32,0.9489,0.04404199387644385,0.06029941135119381
17,0.02660408163265306,2,0.5566,0.10005206690849744,0.10699396412634565
18,0.06534081632653062,16,0.8438,0.07591233434937593,0.08322775231653103
19,0.028642857142857144,2,0.8328,0.12015089808351706,0.13237462381980755
20,0.08368979591836735,8,0.4314,0.7379281464449488,0.7339647288990012
21,0.08572857142857143,8,0.8498,0.8044706381374652,0.8070372847558261
22,0.03475918367346939,8,0.2723,0.1932500251688372,0.18597524337152255
23,0.04087551020408164,16,0.2583,0.05720102868832463,0.05979631074944774
24,0.06534081632653062,4,0.3694,0.25326115861893705,0.26305997367235856
25,0.03475918367346939,8,0.2563,0.06080075254909877,0.06342959073425512
26,0.05718571428571429,8,0.4605,0.15571160102097645,0.16132498541028592
27,0.06330204081632654,32,0.3323,0.06588927822370884,0.06923605663365581
28,0.08776734693877551,32,0.7107,0.2132190133638107,0.22497667346452735
29,0.08368979591836735,8,0.6597,0.335455668316188,0.31879007244441665
30,0.04291428571428572,16,0.4605,0.2051028990770677,0.19705823566553937
31,0.1,4,0.2252,0.49823696505804144,0.5073909279661493
32,0.0898061224489796,16,0.3604,0.4503037869358557,0.46738296383344924
33,0.028642857142857144,16,0.8198,0.20123011934153057,0.1836802166243668
34,0.028642857142857144,16,0.0951,0.1597587257085115,0.17590552051691918
35,0.09184489795918369,8,0.6176,0.3973813802885443,0.4084544396392763
36,0.06941836734693878,8,0.959,0.20379379321791674,0.22544586559462698
37,0.07757346938775511,4,0.9469,0.5763145495972958,0.5587590340664849
38,0.01233265306122449,16,0.1772,0.16887627580629366,0.1853670894231972
39,0.0225265306122449,8,0.004,0.14810418679231002,0.1458511279806252
40,0.09184489795918369,64,0.6837,0.07893791915007493,0.08907196887088792
41,0.08776734693877551,4,0.1622,0.7573854019494803,0.7562764085565145
42,0.0673795918367347,16,0.99,0.05949301245895551,0.07097618356118109
43,0.030681632653061227,2,0.7007,0.1068842391726459,0.11424854493317445
44,0.04087551020408164,8,0.4334,0.14168866368756172,0.1407760492471246
45,0.09592244897959185,4,0.0721,0.5838674816234579,0.6014204208468705
46,0.044953061224489804,4,0.2172,0.2829195658409699,0.29441364589393676
47,0.018448979591836733,32,0.6376,0.20119373578705174,0.19823351814655502
48,0.05514693877551021,2,0.7598,0.8676700997680035,0.8779234734610184
49,0.08776734693877551,32,0.7307,0.21166667286419738,0.2295474913402734
50,0.06534081632653062,64,0.3403,0.06307498555387162,0.06738556768035604
51,0.06330204081632654,4,0.7107,0.7092462937832789,0.6796766542718529
52,0.018448979591836733,16,0.1021,0.028878134462753106,0.030663435276367317
53,0.08776734693877551,64,0.8238,0.2012157008229267,0.21725430924770617
54,0.0021387755102040816,16,0.1311,0.16414462974157565,0.17919933142005293
55,0.06941836734693878,64,0.0871,0.15837531662626875,0.17561386599445658
56,0.05514693877551021,8,0.4915,0.37147834642442484,0.3599487316143756
57,0.09388367346938777,2,0.6206,0.9126114480984635,0.9274023263752511
