,site0,site1,site2,site3,site4,site5,site6,site7
0,3133.0616169512273,35.37072685838793,51.73819768016983,146.95411727279424,44.50545931071974,23.822994688153265,46.769553436804564,44.26211497355253
1,402.60011222958565,32.77609491280746,35.92001081614872,25.77099264264107,40.26032001461135,20.415545718371867,29.95125357285142,42.65628251540475
2,43.6289480805397,29.30475382078439,33.82836579546565,26.059944117069243,32.053009752370414,20.107425583899023,29.67425521572586,40.91207149635302
3,42.33608451485634,25.379987175762654,31.37537594056921,26.111331343650818,26.660004635644146,20.004320800304413,31.536849599843844,38.70571627037134
4,41.09802083671093,22.566017881035805,30.02554519851692,26.130243107676506,24.651608967781065,19.93998607993126,27.3738740400644,36.276928579621014
5,39.82605521976948,21.362752401828764,28.50773622095585,26.144087341427802,23.243113779090343,19.88259209394455,21.3267235258827,33.45469916984439
6,36.447023525834084,20.922026658058165,26.78566512428224,26.157841515541076,22.05626191832125,19.8502720028162,16.234716057265178,30.914285388588905
7,34.6474750995636,20.74444900751114,24.70266966857016,26.171703204512596,21.441100479662417,19.82140417098999,14.22947075786069,28.595704703032972
8,34.61017908155918,20.670059436559676,23.57437736466527,26.185070699453355,19.88941027857363,19.79015088826418,13.378882283065469,26.84228033423424
9,33.68266446590424,20.598739790916444,22.907370795309543,26.19741960167885,18.709373824670912,19.763194039463997,12.881117873266339,25.53132313489914
10,33.22224195897579,20.58480530679226,22.70075424388051,26.208440274000168,17.521350099518894,19.83611360937357,12.540560567658394,25.026521465182306
11,32.764997416734694,20.575873345136642,22.51021120622754,26.217970904707908,16.960933016985656,19.821280832588673,12.26950570642948,24.506667026877402
12,32.33000251054764,20.541763013601305,22.40635376647115,26.225987815856932,16.562616495043038,19.87066785991192,11.034685442969202,24.451754063367844
13,31.897281223535536,20.529952520132063,22.162418195605277,26.232512584328653,16.252680233493447,19.86033783107996,11.121682851016521,24.329302954673768
14,31.493493124842644,20.504344227910043,22.07345009371638,26.2376197129488,15.766443891823291,19.851520866155624,10.94793694242835,24.254053992033004
15,31.07273612320423,20.477316361665725,22.019556588679553,26.24140976369381,15.353874550759793,19.84424280971289,10.801641181856393,24.204512873291968
16,30.65647538304329,20.464837875962257,21.978604575991632,26.243985110521315,15.179471000283957,19.874227146804333,10.671893983706832,24.169586464762688
17,30.251070368289948,20.41057130396366,22.00862655043602,26.24542811512947,14.959107669442892,19.869388839602472,10.556015856005251,24.143442407250404
18,29.82743684053421,20.3982004404068,21.916437003016473,26.24589276611805,14.855519422888756,19.94550416916609,10.451682558842004,24.122907719016077
19,29.4135740339756,20.392446073889733,21.991451339423655,26.245435881614686,14.661823771893978,19.84814295768738,10.357102161645889,24.10617400407791
20,29.016216111183166,20.371462655067443,21.86927709579468,26.244165843725206,14.438568087667226,19.84167990386486,10.267756884545088,24.092156532406808
