,site2
0,2.8389895
1,3.3250449
2,3.0107973
3,3.2136934
4,3.0824075
5,3.167578
6,3.112865
7,3.1482913
8,3.1253817
9,3.1419
10,3.1301343
11,3.1378734
12,3.1321952
13,3.1360748
14,3.1338658
15,3.1356251
16,3.133939
17,3.137302
18,3.1321151
19,3.1351388
20,3.1332178
21,3.1341443
22,3.1337502
23,3.133879
24,3.1334646
25,3.133666
26,3.1331227
27,3.134094
28,3.1335711
29,3.1333256
30,3.1339538
31,3.1356876
32,3.1320279
33,3.1339676
34,3.1332052
35,3.1340926
36,3.1334238
37,3.1335433
38,3.1339302
39,3.1338484
40,3.1335995
41,3.132474
42,3.1308413
43,3.131021
44,3.131049
45,3.131684
46,3.13238
47,3.1316826
48,3.1312013
49,3.132148
50,3.1337297
51,3.133439
52,3.1285586
53,3.132847
54,3.130811
55,3.1277635
56,3.1326878
57,3.1326387
58,3.1304426
59,3.1317914
60,3.1324642
61,3.1317446
62,3.1322327
63,3.130875
64,3.1310213
65,3.1316833
66,3.131297
67,3.1327085
68,3.1322372
69,3.1291962
70,3.1323721
71,3.1323543
72,3.1315098
73,3.1321666
74,3.1300776
75,3.12865
76,3.1298804
77,3.1275752
78,3.1255004
79,3.1261537
80,3.125131
81,3.128041
82,3.1276305
83,3.124913
84,3.1304834
85,3.1272008
86,3.120581
87,3.1200278
88,3.1288788
89,3.1231544
90,3.1218188
91,3.1188745
92,3.1153498
93,3.1181958
94,3.1279666
95,3.1319878
96,3.131615
97,3.1356118
98,3.1315417
99,3.1287463
100,3.123734
101,3.121349
102,3.1297884
103,3.1302626
104,3.123212
105,3.1140811
106,3.1078274
107,3.1099794
108,3.1116083
109,3.115424
110,3.1159804
111,3.1171463
112,3.1195152
113,3.1183846
114,3.1181371
115,3.1159356
116,3.1227252
117,3.129329
118,3.1230083
119,3.1140704
120,3.1186838
121,3.116731
122,3.111457
123,3.113278
124,3.1245768
125,3.1201687
126,3.1247466
127,3.1257236
128,3.1239126
129,3.1209452
130,3.1191766
131,3.122689
132,3.1244366
133,3.1243603
134,3.126618
135,3.1255007
136,3.1237903
137,3.131635
138,3.1266282
139,3.1226444
140,3.1263893
141,3.1257472
142,3.1211607
143,3.1250281
144,3.1256588
145,3.1260393
146,3.1275885
147,3.1227188
148,3.122553
149,3.1225672
150,3.120753
151,3.1240962
152,3.1275616
153,3.1240747
154,3.120752
155,3.1201255
156,3.1231997
157,3.1223388
158,3.1224325
159,3.133795
160,3.1316836
161,3.1307232
162,3.126186
163,3.1201932
164,3.1166801
165,3.1248977
166,3.1214504
167,3.1276443
168,3.1347969
169,3.11633
170,3.1280537
171,3.1228185
172,3.1173017
173,3.128384
174,3.128309
175,3.1293058
176,3.1320732
177,3.1281126
178,3.1338062
179,3.1357234
180,3.1317103
181,3.1312735
182,3.1344573
183,3.130247
184,3.1308455
185,3.1300528
186,3.1329494
187,3.130979
188,3.1322916
189,3.1315582
190,3.1331725
191,3.1285305
192,3.1263678
193,3.1230996
194,3.1197994
195,3.1230142
196,3.1241496
197,3.1263146
198,3.124386
199,3.1219666
200,3.1251657
201,3.1526005
202,3.1269634
203,3.1210732
204,3.1105626
205,3.118475
206,3.1131139
207,3.1275413
208,3.1325967
209,3.1294825
210,3.1305768
211,3.1300876
212,3.1328828
213,3.1309993
214,3.1322725
215,3.1344783
216,3.130311
217,3.1334448
218,3.1331613
219,3.1668205
220,3.1118944
221,3.1458266
222,3.130246
223,3.1239486
224,3.1256578
225,3.1238585
226,3.1212733
227,3.1429725
228,3.1252544
229,3.1326456
230,3.120228
231,3.1310782
232,3.1270792
233,3.1291401
234,3.120096
235,3.1182616
236,3.121898
237,3.1281853
238,3.12945
239,3.1466978
240,3.122687
241,3.1351879
242,3.1250908
243,3.1318915
244,3.131157
245,3.1369522
246,3.12831
247,3.139451
248,3.1264963
249,3.132459
250,3.127169
251,3.1316164
252,3.129167
253,3.1312382
254,3.1317222
255,3.1263976
256,3.1275578
257,3.131128
258,3.1305912
259,3.131574
260,3.1295323
261,3.1286862
262,3.1298363
263,3.1206403
264,3.1262686
265,3.121114
266,3.1149895
267,3.1197412
268,3.12315
269,3.128599
270,3.1235118
271,3.1288364
272,3.1326413
273,3.1330528
274,3.1402667
275,3.129858
276,3.1350691
277,3.1356838
278,3.1350343
279,3.1302087
280,3.1317275
281,3.1360273
282,3.1303794
283,3.1360438
284,3.130679
285,3.1335924
286,3.132233
287,3.1322036
288,3.1399653
289,3.1302779
290,3.1345782
291,3.133302
292,3.1324995
293,3.1430662
294,3.1297743
295,3.1344051
296,3.1350253
297,3.1331146
298,3.141672
299,3.1298254
300,3.1350176
301,3.1320682
302,3.139459
303,3.1425407
304,3.1286948
305,3.1368318
306,3.1312747
307,3.1350234
308,3.1319106
309,3.133598
310,3.1329353
311,3.1356022
312,3.1362364
313,3.1367214
314,3.1352224
315,3.135411
316,3.134265
317,3.1351626
318,3.1382058
319,3.13154
320,3.1352065
321,3.1342533
322,3.1336849
323,3.1339
324,3.1341045
325,3.1342053
326,3.134267
327,3.1343122
328,3.134198
329,3.1343236
330,3.1342914
331,3.1342924
332,3.1342092
333,3.1362412
334,3.13845
335,3.1328843
336,3.1377149
337,3.1339295
338,3.1348417
339,3.1342518
340,3.1346328
341,3.1343858
342,3.134546
343,3.1344428
344,3.1345093
345,3.1344662
346,3.1346362
347,3.1343844
348,3.1345475
349,3.1344416
350,3.13451
351,3.1343338
352,3.1362107
353,3.133827
354,3.1359093
355,3.1332052
356,3.134968
357,3.1338773
358,3.1344368
359,3.1339195
360,3.133898
361,3.1336348
362,3.1338713
363,3.1341674
364,3.1337194
365,3.1348019
366,3.1336257
367,3.1342113
368,3.1330187
369,3.1345851
370,3.1364365
371,3.1312103
372,3.1345818
373,3.1359584
374,3.1341212
375,3.1325977
376,3.1313045
377,3.1324937
378,3.1359735
379,3.131867
380,3.1326516
381,3.1389246
382,3.1298168
383,3.1356308
384,3.131809
385,3.13322
386,3.136977
387,3.1320598
388,3.135309
389,3.138453
390,3.129306
391,3.1347196
392,3.1329212
393,3.135004
394,3.134276
395,3.1353033
396,3.131211
397,3.1320872
398,3.130977
399,3.1347277
400,3.1334333
401,3.1289904
402,3.1330569
403,3.1307557
404,3.129351
405,3.1333287
406,3.1335988
407,3.1335917
408,3.1297376
409,3.1282563
410,3.132398
411,3.1326435
412,3.1283321
413,3.1309454
414,3.1306913
415,3.1321437
416,3.1349216
417,3.1300085
418,3.1309812
419,3.1249027
420,3.1332743
421,3.127654
422,3.1238332
423,3.1324158
424,3.1315567
425,3.1248286
426,3.13086
427,3.1264632
428,3.125952
429,3.1297646
430,3.1300995
431,3.1267292
432,3.12944
433,3.1279843
434,3.127
435,3.130881
436,3.1305087
437,3.135149
438,3.1254873
439,3.1266325
440,3.1249647
441,3.1238494
442,3.1229064
443,3.1288435
444,3.1326485
445,3.123856
446,3.1237428
447,3.1277869
448,3.1229684
449,3.1200802
450,3.1194406
451,3.1190622
452,3.1301568
453,3.1208174
454,3.1242237
455,3.1206045
456,3.1255004
457,3.1284637
458,3.1223156
459,3.1232111
460,3.1226761
461,3.123349
462,3.1316206
463,3.121588
464,3.1187599
465,3.124276
466,3.118583
467,3.117367
468,3.1194918
469,3.1164227
470,3.1179879
471,3.126434
472,3.11576
473,3.1093385
474,3.110288
475,3.108416
476,3.1140888
477,3.117396
478,3.115165
479,3.1243942
480,3.1226618
481,3.1191247
482,3.1164427
483,3.124296
484,3.1240737
485,3.1268547
486,3.120735
487,3.113321
488,3.1143515
489,3.1120408
490,3.1142466
491,3.1121209
492,3.1242092
493,3.128361
494,3.1250541
495,3.1269014
496,3.126296
497,3.1280177
498,3.1280692
499,3.1275263
500,3.1270278
501,3.1296844
502,3.1291163
503,3.132243
504,3.1271064
505,3.1286414
506,3.12697
507,3.1283581
508,3.1287649
509,3.1275494
510,3.1437833
511,3.1234076
512,3.1316457
513,3.1256187
514,3.1291575
515,3.1261475
516,3.1277473
517,3.1264992
518,3.127259
519,3.1267068
520,3.1271708
521,3.126879
522,3.1272552
523,3.1267045
524,3.1285965
525,3.1310112
526,3.131016
527,3.1343293
528,3.1287632
529,3.1331556
530,3.1292171
531,3.1360826
532,3.1274078
533,3.1323087
534,3.1309612
535,3.131408
